cohort,task,scene,method,success,role,snapshots
old212,1,eval-hard-015,generic,False,primary,3
old212,2,eval-hard-015,ours,True,primary,3
old212,3,eval-moderate-016,ours,True,primary,3
old212,4,eval-moderate-016,generic,True,primary,3
old212,5,eval-moderate-024,generic,True,primary,2
old212,6,eval-moderate-024,ours,True,primary,2
old212,7,eval-easy-033,ours,True,primary,3
old212,8,eval-easy-033,generic,True,primary,3
old212,9,eval-easy-009,ours,True,primary,3
old212,10,eval-easy-009,generic,True,primary,3
old212,11,eval-easy-006,generic,True,primary,3
old212,12,eval-easy-006,ours,True,primary,3
old212,13,eval-hard-007,ours,False,primary,3
old212,14,eval-hard-007,generic,False,primary,3
old212,15,eval-moderate-023,generic,True,primary,3
old212,16,eval-moderate-023,ours,True,primary,3
old212,17,eval-moderate-004,ours,True,primary,3
old212,18,eval-moderate-004,generic,True,primary,3
old212,19,eval-moderate-026,generic,True,primary,3
old212,20,eval-moderate-026,ours,True,primary,3
old212,21,eval-hard-006,generic,False,primary,3
old212,22,eval-hard-006,ours,True,primary,3
old212,23,eval-hard-002,ours,True,primary,3
old212,24,eval-hard-002,generic,True,primary,3
old212,25,eval-hard-002,rm4d_only,True,secondary_baseline,0
old212,26,eval-hard-002,no_cost,True,secondary_ablation,3
old212,27,eval-hard-002,no_occlusion,False,secondary_ablation,3
old212,28,eval-hard-002,fixed,False,secondary_baseline,1
old212,29,eval-easy-015,generic,True,primary,3
old212,30,eval-easy-015,ours,True,primary,3
old212,31,eval-hard-027,generic,False,primary,3
old212,32,eval-hard-027,ours,True,primary,3
old212,33,eval-easy-004,generic,True,primary,2
old212,34,eval-easy-004,ours,False,primary,2
old212,35,eval-easy-038,ours,True,primary,2
old212,36,eval-easy-038,generic,True,primary,3
old212,37,eval-hard-009,generic,False,primary,3
old212,38,eval-hard-009,ours,True,primary,3
old212,39,eval-easy-036,generic,True,primary,3
old212,40,eval-easy-036,ours,True,primary,2
old212,41,eval-moderate-025,generic,True,primary,3
old212,42,eval-moderate-025,ours,True,primary,3
old212,43,eval-hard-008,generic,False,primary,3
old212,44,eval-hard-008,ours,True,primary,3
old212,45,eval-easy-014,ours,True,primary,3
old212,46,eval-easy-014,generic,False,primary,3
old212,47,eval-hard-023,ours,False,primary,3
old212,48,eval-hard-023,generic,False,primary,3
old212,49,eval-hard-024,ours,True,primary,3
old212,50,eval-hard-024,generic,False,primary,3
old212,51,eval-moderate-018,generic,True,primary,3
old212,52,eval-moderate-018,ours,True,primary,2
old212,53,eval-hard-012,ours,False,primary,3
old212,54,eval-hard-012,generic,False,primary,3
old212,55,eval-moderate-008,ours,True,primary,3
old212,56,eval-moderate-008,generic,True,primary,3
old212,57,eval-hard-030,ours,True,primary,3
old212,58,eval-hard-030,generic,False,primary,3
old212,59,eval-easy-034,generic,True,primary,3
old212,60,eval-easy-034,ours,True,primary,3
old212,61,eval-moderate-011,ours,True,primary,3
old212,62,eval-moderate-011,generic,True,primary,3
old212,63,eval-easy-026,generic,True,primary,3
old212,64,eval-easy-026,ours,True,primary,3
old212,65,eval-easy-019,generic,True,primary,3
old212,66,eval-easy-019,ours,True,primary,2
old212,67,eval-easy-013,ours,True,primary,3
old212,68,eval-easy-013,generic,True,primary,3
old212,69,eval-hard-004,generic,False,primary,3
old212,70,eval-hard-004,ours,True,primary,3
old212,71,eval-hard-004,no_occlusion,False,secondary_ablation,3
old212,72,eval-hard-004,no_cost,True,secondary_ablation,3
old212,73,eval-easy-016,ours,True,primary,2
old212,74,eval-easy-016,generic,False,primary,3
old212,75,eval-moderate-002,generic,False,primary,3
old212,76,eval-moderate-002,ours,True,primary,3
old212,77,eval-moderate-002,rm4d_only,False,secondary_baseline,0
old212,78,eval-moderate-002,fixed,False,secondary_baseline,3
old212,79,eval-easy-037,ours,True,primary,2
old212,80,eval-easy-037,generic,True,primary,2
old212,81,eval-moderate-015,ours,False,primary,3
old212,82,eval-moderate-015,generic,False,primary,3
old212,83,eval-easy-027,generic,False,primary,3
old212,84,eval-easy-027,ours,True,primary,2
old212,85,eval-easy-003,generic,True,primary,3
old212,86,eval-easy-003,ours,True,primary,3
old212,87,eval-moderate-010,generic,True,primary,3
old212,88,eval-moderate-010,ours,True,primary,2
old212,89,eval-easy-029,generic,True,primary,2
old212,90,eval-easy-029,ours,True,primary,2
old212,91,eval-hard-010,generic,False,primary,3
old212,92,eval-hard-010,ours,True,primary,3
old212,93,eval-easy-023,generic,True,primary,3
old212,94,eval-easy-023,ours,True,primary,3
old212,95,eval-easy-002,generic,False,primary,3
old212,96,eval-easy-002,ours,True,primary,2
old212,97,eval-easy-002,fixed,True,secondary_baseline,2
old212,98,eval-easy-002,rm4d_only,False,secondary_baseline,0
old212,99,eval-moderate-028,ours,True,primary,3
old212,100,eval-moderate-028,generic,True,primary,3
old212,101,eval-hard-028,generic,False,primary,3
old212,102,eval-hard-028,ours,True,primary,3
old212,103,eval-moderate-013,ours,True,primary,2
old212,104,eval-moderate-013,generic,True,primary,3
old212,105,eval-hard-017,ours,True,primary,3
old212,106,eval-hard-017,generic,False,primary,3
old212,107,eval-easy-031,generic,True,primary,3
old212,108,eval-easy-031,ours,True,primary,3
old212,109,eval-moderate-001,ours,True,primary,3
old212,110,eval-moderate-001,generic,True,primary,3
old212,111,eval-moderate-001,rm4d_only,False,secondary_baseline,0
old212,112,eval-moderate-001,fixed,False,secondary_baseline,1
old212,113,eval-moderate-009,generic,True,primary,3
old212,114,eval-moderate-009,ours,True,primary,2
old212,115,eval-hard-026,generic,True,primary,3
old212,116,eval-hard-026,ours,True,primary,3
old212,117,eval-easy-035,ours,True,primary,2
old212,118,eval-easy-035,generic,True,primary,3
old212,119,eval-hard-018,ours,False,primary,0
old212,120,eval-hard-018,generic,False,primary,0
