cohort,task,scene,method,success,role,from_round,prior_confirmed,model_all_phase_hit_cells,all_phase_actual_miss_cells,model_any_phase_hit_cells,any_phase_actual_miss_cells,actual_hit_cells,actual_outside_model_cells,needed_cells,needed_all_phase_hits,needed_all_phase_misses,needed_actual_hits,predicted_confirmation_all_phase,predicted_confirmation_any_phase,actual_prior_candidate_support_complete,actual_confirmation,newly_blocked_prior_viable,all_phase_candidate_support_false_positive
old212,1,eval-hard-015,generic,False,primary,1,False,891,8,1005,26,1093,114,165,111,0,123,False,False,False,False,0,0
old212,1,eval-hard-015,generic,False,primary,2,False,867,10,978,13,1118,153,147,100,2,107,False,False,False,False,0,0
old212,2,eval-hard-015,ours,True,primary,1,False,642,4,665,4,788,127,162,146,0,161,False,False,False,False,0,0
old212,2,eval-hard-015,ours,True,primary,2,False,683,31,716,32,781,97,100,96,4,96,False,True,True,True,0,0
old212,3,eval-moderate-016,ours,True,primary,1,False,869,4,907,8,1037,138,165,163,0,165,False,False,False,False,0,0
old212,3,eval-moderate-016,ours,True,primary,2,False,928,33,964,34,1041,111,44,44,0,44,True,True,True,True,0,0
old212,4,eval-moderate-016,generic,True,primary,1,False,1104,13,1264,44,1326,106,162,160,3,159,False,False,False,False,0,0
old212,4,eval-moderate-016,generic,True,primary,2,False,1095,15,1262,24,1354,116,40,40,0,40,True,True,True,True,0,0
old212,5,eval-moderate-024,generic,True,primary,1,False,1134,32,1288,54,1318,84,170,158,2,168,False,True,True,True,0,0
old212,6,eval-moderate-024,ours,True,primary,1,False,1008,6,1123,21,1265,163,170,161,0,170,False,True,True,True,0,0
old212,7,eval-easy-033,ours,True,primary,1,False,1088,4,1133,6,1213,86,178,176,0,178,False,False,False,False,0,0
old212,7,eval-easy-033,ours,True,primary,2,False,1142,18,1198,25,1212,39,66,66,0,66,True,True,True,True,0,0
old212,8,eval-easy-033,generic,True,primary,1,False,1483,20,1573,25,1573,25,176,165,0,176,False,False,False,False,0,0
old212,8,eval-easy-033,generic,True,primary,2,False,1461,37,1575,43,1555,23,41,41,0,41,True,True,True,True,0,0
old212,9,eval-easy-009,ours,True,primary,1,False,1079,3,1131,7,1204,80,166,164,0,166,False,False,False,False,0,0
old212,9,eval-easy-009,ours,True,primary,2,False,1139,48,1203,48,1195,40,46,46,0,46,True,True,True,True,0,0
old212,10,eval-easy-009,generic,True,primary,1,False,1431,34,1547,47,1551,51,166,133,6,159,False,False,False,False,0,0
old212,10,eval-easy-009,generic,True,primary,2,False,1509,6,1580,6,1594,20,52,51,0,52,True,True,True,True,0,0
old212,11,eval-easy-006,generic,True,primary,1,False,1518,20,1565,21,1578,34,178,166,1,177,False,False,False,False,0,0
old212,11,eval-easy-006,generic,True,primary,2,False,1520,15,1576,15,1584,23,46,44,0,46,True,True,True,True,0,0
old212,12,eval-easy-006,ours,True,primary,1,False,853,3,927,6,949,28,176,168,0,176,False,False,False,False,0,0
old212,12,eval-easy-006,ours,True,primary,2,False,893,65,964,69,916,21,47,47,2,45,True,True,True,True,0,1
old212,13,eval-hard-007,ours,False,primary,1,False,714,3,748,5,898,155,166,153,0,166,False,False,False,False,0,0
old212,13,eval-hard-007,ours,False,primary,2,False,681,9,726,11,889,174,133,131,0,133,True,True,True,True,0,0
old212,14,eval-hard-007,generic,False,primary,1,False,884,17,925,20,984,79,170,20,1,43,False,False,False,False,0,0
old212,14,eval-hard-007,generic,False,primary,2,False,858,10,921,14,982,75,144,3,0,17,False,False,False,False,0,0
old212,15,eval-moderate-023,generic,True,primary,1,False,1073,19,1206,28,1283,105,170,169,1,169,False,False,False,False,0,0
old212,15,eval-moderate-023,generic,True,primary,2,False,1066,16,1214,19,1295,100,39,39,0,39,True,True,True,True,0,0
old212,16,eval-moderate-023,ours,True,primary,1,False,674,2,694,4,805,115,175,174,0,175,False,False,False,False,0,0
old212,16,eval-moderate-023,ours,True,primary,2,False,723,0,743,1,822,80,58,58,0,58,True,True,True,True,0,0
old212,17,eval-moderate-004,ours,True,primary,1,False,809,0,834,0,964,130,170,168,0,170,False,False,False,False,0,0
old212,17,eval-moderate-004,ours,True,primary,2,False,852,21,878,22,966,110,59,59,0,59,True,True,True,True,0,0
old212,18,eval-moderate-004,generic,True,primary,1,False,1109,11,1258,36,1324,102,168,166,0,168,False,False,False,False,0,0
old212,18,eval-moderate-004,generic,True,primary,2,False,1108,9,1262,15,1361,114,47,47,0,47,True,True,True,True,0,0
old212,19,eval-moderate-026,generic,True,primary,1,False,1080,20,1210,35,1270,95,170,165,1,169,False,True,False,False,0,0
old212,19,eval-moderate-026,generic,True,primary,2,False,1084,16,1207,23,1288,104,21,21,0,21,True,True,True,True,0,0
old212,20,eval-moderate-026,ours,True,primary,1,False,936,4,1048,27,1203,182,169,167,0,169,False,False,False,False,0,0
old212,20,eval-moderate-026,ours,True,primary,2,False,1023,19,1152,23,1237,108,33,30,0,33,True,True,True,True,0,0
old212,21,eval-hard-006,generic,False,primary,1,False,847,10,940,23,1042,125,169,121,2,137,False,False,False,False,0,0
old212,21,eval-hard-006,generic,False,primary,2,False,834,13,936,15,1063,142,123,91,2,93,False,False,False,False,0,0
old212,22,eval-hard-006,ours,True,primary,1,False,564,6,595,6,788,199,169,155,0,169,False,False,False,False,0,0
old212,22,eval-hard-006,ours,True,primary,2,False,605,21,658,26,786,154,92,91,1,91,True,True,True,True,0,1
old212,23,eval-hard-002,ours,True,primary,1,False,742,0,775,4,953,182,160,160,0,160,False,False,False,False,0,0
old212,23,eval-hard-002,ours,True,primary,2,False,768,0,792,0,965,173,141,141,0,141,True,True,True,True,0,0
old212,24,eval-hard-002,generic,True,primary,1,False,830,14,912,18,1025,131,165,158,0,165,False,False,False,False,0,0
old212,24,eval-hard-002,generic,True,primary,2,False,805,10,893,12,1037,156,147,139,1,146,False,False,True,True,0,0
old212,26,eval-hard-002,no_cost,True,secondary_ablation,1,False,703,29,731,31,848,148,163,163,0,163,False,False,False,False,0,0
old212,26,eval-hard-002,no_cost,True,secondary_ablation,2,False,676,6,703,7,963,267,144,144,0,144,True,True,True,True,0,0
old212,27,eval-hard-002,no_occlusion,False,secondary_ablation,1,False,387,1,418,1,658,241,165,7,0,34,False,False,False,False,0,0
old212,27,eval-hard-002,no_occlusion,False,secondary_ablation,2,False,479,17,503,19,661,177,146,2,0,18,False,False,False,False,0,0
old212,29,eval-easy-015,generic,True,primary,1,False,1416,34,1566,54,1546,34,169,126,1,167,False,False,False,False,0,0
old212,29,eval-easy-015,generic,True,primary,2,False,1491,11,1568,12,1585,29,49,49,0,49,True,True,True,True,0,0
old212,30,eval-easy-015,ours,True,primary,1,False,1143,2,1179,4,1302,127,167,166,0,167,False,False,False,False,0,0
old212,30,eval-easy-015,ours,True,primary,2,False,1239,28,1273,29,1291,47,70,70,0,70,True,True,True,True,0,0
old212,31,eval-hard-027,generic,False,primary,1,False,857,8,981,15,1080,114,163,120,0,145,False,False,False,False,0,0
old212,31,eval-hard-027,generic,False,primary,2,False,854,18,1008,36,1081,109,147,127,0,144,False,False,False,False,0,0
old212,32,eval-hard-027,ours,True,primary,1,False,767,1,805,1,948,144,165,146,0,164,False,False,False,False,0,0
old212,32,eval-hard-027,ours,True,primary,2,False,873,12,960,17,1118,175,127,124,0,127,True,True,True,True,0,0
old212,33,eval-easy-004,generic,True,primary,1,False,1527,7,1572,9,1590,27,169,159,1,168,False,False,True,True,0,0
old212,34,eval-easy-004,ours,False,primary,1,False,1183,2,1204,2,1288,86,166,160,0,166,False,False,True,True,0,0
old212,35,eval-easy-038,ours,True,primary,1,False,1073,1,1106,3,1202,99,174,165,0,174,False,False,True,True,0,0
old212,36,eval-easy-038,generic,True,primary,1,False,1383,27,1579,55,1539,15,173,162,3,169,False,False,False,False,0,0
old212,36,eval-easy-038,generic,True,primary,2,False,1464,23,1567,28,1567,28,9,9,0,9,True,True,True,True,0,0
old212,37,eval-hard-009,generic,False,primary,1,False,891,15,987,25,1071,109,169,109,1,128,False,False,False,False,0,0
old212,37,eval-hard-009,generic,False,primary,2,False,899,11,989,13,1090,114,128,83,1,88,False,False,False,False,0,0
old212,38,eval-hard-009,ours,True,primary,1,False,622,0,649,0,874,225,169,163,0,169,False,False,False,False,0,0
old212,38,eval-hard-009,ours,True,primary,2,False,689,26,730,28,867,165,84,80,0,84,False,True,True,True,0,0
old212,39,eval-easy-036,generic,True,primary,1,False,1506,20,1559,20,1577,38,174,163,1,171,False,False,False,False,0,0
old212,39,eval-easy-036,generic,True,primary,2,False,1471,21,1572,27,1571,26,33,32,0,33,True,True,True,True,0,0
old212,40,eval-easy-036,ours,True,primary,1,False,1179,6,1224,12,1323,111,172,172,0,172,True,True,True,True,0,0
old212,41,eval-moderate-025,generic,True,primary,1,False,1036,13,1147,15,1250,118,164,161,0,164,False,False,False,False,0,0
old212,41,eval-moderate-025,generic,True,primary,2,False,1034,20,1150,29,1231,110,35,35,0,35,True,True,True,True,0,0
old212,42,eval-moderate-025,ours,True,primary,1,False,966,13,1046,19,1191,164,170,160,2,168,False,False,False,False,0,0
old212,42,eval-moderate-025,ours,True,primary,2,False,1023,16,1114,18,1241,145,55,55,0,55,True,True,True,True,0,0
old212,43,eval-hard-008,generic,False,primary,1,False,920,6,947,7,1077,137,168,8,0,41,False,False,False,False,0,0
old212,43,eval-hard-008,generic,False,primary,2,False,914,6,957,9,1076,128,147,0,0,23,False,False,False,False,0,0
old212,44,eval-hard-008,ours,True,primary,1,False,654,3,678,3,845,170,166,155,0,166,False,False,False,False,0,0
old212,44,eval-hard-008,ours,True,primary,2,False,601,21,633,25,773,165,143,137,7,131,True,True,True,True,0,1
old212,45,eval-easy-014,ours,True,primary,1,False,1095,4,1138,6,1241,109,177,174,0,177,False,False,False,False,0,0
old212,45,eval-easy-014,ours,True,primary,2,False,1163,24,1218,25,1244,51,53,53,0,53,True,True,True,True,0,0
old212,46,eval-easy-014,generic,False,primary,1,False,1392,42,1548,62,1533,47,178,127,5,164,False,False,False,False,0,0
old212,46,eval-easy-014,generic,False,primary,2,False,1485,8,1563,8,1588,33,73,70,0,73,False,False,False,False,0,0
old212,47,eval-hard-023,ours,False,primary,1,False,742,8,771,9,931,169,169,131,0,148,False,False,False,False,0,0
old212,47,eval-hard-023,ours,False,primary,2,False,669,21,710,22,821,133,144,121,11,118,False,False,False,False,0,0
old212,48,eval-hard-023,generic,False,primary,1,False,826,11,938,19,1082,163,160,100,1,125,False,False,False,False,0,0
old212,48,eval-hard-023,generic,False,primary,2,False,820,12,946,17,1081,152,132,91,0,101,False,False,False,False,0,0
old212,49,eval-hard-024,ours,True,primary,1,False,560,1,600,2,838,240,169,161,0,169,False,False,False,False,0,0
old212,49,eval-hard-024,ours,True,primary,2,False,617,0,670,1,938,269,117,113,0,117,False,True,True,True,0,0
old212,50,eval-hard-024,generic,False,primary,1,False,834,9,935,19,1064,148,184,128,2,152,False,False,False,False,0,0
old212,50,eval-hard-024,generic,False,primary,2,False,790,19,857,22,979,144,151,53,2,79,False,False,False,False,0,0
old212,51,eval-moderate-018,generic,True,primary,1,False,1111,23,1262,53,1281,72,153,141,2,150,False,True,False,False,0,0
old212,51,eval-moderate-018,generic,True,primary,2,False,1109,8,1261,17,1319,75,4,3,0,3,True,True,True,True,0,0
old212,52,eval-moderate-018,ours,True,primary,1,False,878,6,904,8,991,95,153,145,0,153,False,False,True,True,0,0
old212,53,eval-hard-012,ours,False,primary,1,False,619,2,658,2,832,176,165,121,0,133,False,False,False,False,0,0
old212,53,eval-hard-012,ours,False,primary,2,False,465,8,496,9,620,133,131,89,4,89,False,False,False,False,0,0
old212,54,eval-hard-012,generic,False,primary,1,False,907,2,940,2,1109,171,165,2,0,44,False,False,False,False,0,0
old212,54,eval-hard-012,generic,False,primary,2,False,976,17,1066,22,1150,106,161,65,0,86,False,False,False,False,0,0
old212,55,eval-moderate-008,ours,True,primary,1,False,951,6,1064,21,1172,129,152,147,1,151,False,False,False,False,0,0
old212,55,eval-moderate-008,ours,True,primary,2,False,1023,4,1142,9,1307,174,12,12,0,12,True,True,True,True,0,0
old212,56,eval-moderate-008,generic,True,primary,1,False,1168,29,1309,38,1322,51,157,145,2,154,False,False,False,False,0,0
old212,56,eval-moderate-008,generic,True,primary,2,False,1162,17,1313,22,1347,56,4,3,0,4,True,True,True,True,0,0
old212,57,eval-hard-030,ours,True,primary,1,False,739,5,776,5,931,160,170,161,0,170,False,False,False,False,0,0
old212,57,eval-hard-030,ours,True,primary,2,False,659,25,704,25,846,167,146,146,1,145,True,True,True,True,0,1
old212,58,eval-hard-030,generic,False,primary,1,False,892,18,968,26,1079,137,170,143,2,154,False,False,False,False,0,0
old212,58,eval-hard-030,generic,False,primary,2,False,869,12,967,21,1092,146,150,131,2,138,False,False,False,False,0,0
old212,59,eval-easy-034,generic,True,primary,1,False,1500,22,1555,28,1566,39,175,167,2,172,False,False,False,False,0,0
old212,59,eval-easy-034,generic,True,primary,2,False,1474,20,1559,26,1569,36,53,52,0,52,True,True,True,True,0,0
old212,60,eval-easy-034,ours,True,primary,1,False,1120,4,1132,4,1268,140,175,174,0,175,False,False,False,False,0,0
old212,60,eval-easy-034,ours,True,primary,2,False,1224,8,1239,8,1279,48,60,60,0,60,True,True,True,True,0,0
old212,61,eval-moderate-011,ours,True,primary,1,False,955,1,1067,2,1203,138,163,162,0,163,False,False,False,False,0,0
old212,61,eval-moderate-011,ours,True,primary,2,False,995,17,1101,17,1201,117,46,44,0,46,True,True,True,True,0,0
old212,62,eval-moderate-011,generic,True,primary,1,False,1083,19,1230,41,1299,110,171,169,2,169,False,False,False,False,0,0
old212,62,eval-moderate-011,generic,True,primary,2,False,1073,13,1234,17,1327,110,49,49,0,49,True,True,True,True,0,0
old212,63,eval-easy-026,generic,True,primary,1,False,1506,31,1576,34,1564,22,167,157,1,166,False,False,False,False,0,0
old212,63,eval-easy-026,generic,True,primary,2,False,1488,35,1585,41,1559,15,27,27,0,27,True,True,True,True,0,0
old212,64,eval-easy-026,ours,True,primary,1,False,1153,19,1253,28,1272,47,169,164,0,169,False,False,False,False,0,0
old212,64,eval-easy-026,ours,True,primary,2,False,1180,42,1278,44,1288,54,24,22,0,24,True,True,True,True,0,0
old212,65,eval-easy-019,generic,True,primary,1,False,1477,17,1564,25,1571,32,169,152,1,167,False,False,False,False,0,0
old212,65,eval-easy-019,generic,True,primary,2,False,1469,11,1563,15,1582,34,3,1,0,3,False,False,True,True,0,0
old212,66,eval-easy-019,ours,True,primary,1,False,851,14,890,16,914,40,169,160,2,162,False,True,True,True,0,0
old212,67,eval-easy-013,ours,True,primary,1,False,1196,7,1290,7,1356,73,169,163,1,168,False,False,False,False,0,0
old212,67,eval-easy-013,ours,True,primary,2,False,1256,21,1291,23,1316,48,21,21,0,21,True,True,True,True,0,0
old212,68,eval-easy-013,generic,True,primary,1,False,1481,14,1565,19,1580,34,154,142,1,152,False,False,False,False,0,0
old212,68,eval-easy-013,generic,True,primary,2,False,1491,7,1575,9,1590,24,3,2,0,3,False,False,True,True,0,0
old212,69,eval-hard-004,generic,False,primary,1,False,901,8,935,8,1085,158,176,14,0,40,False,False,False,False,0,0
old212,69,eval-hard-004,generic,False,primary,2,False,910,10,945,14,1077,146,155,1,0,23,False,False,False,False,0,0
old212,70,eval-hard-004,ours,True,primary,1,False,658,3,683,3,825,145,179,157,0,176,False,False,False,False,0,0
old212,70,eval-hard-004,ours,True,primary,2,False,587,6,608,6,778,176,156,151,1,152,True,True,True,True,0,0
old212,71,eval-hard-004,no_occlusion,False,secondary_ablation,1,False,379,0,394,0,635,241,175,0,0,43,False,False,False,False,0,0
old212,71,eval-hard-004,no_occlusion,False,secondary_ablation,2,False,424,14,447,16,627,196,158,0,0,25,False,False,False,False,0,0
old212,72,eval-hard-004,no_cost,True,secondary_ablation,1,False,678,0,699,0,836,137,179,161,0,177,False,False,False,False,0,0
old212,72,eval-hard-004,no_cost,True,secondary_ablation,2,False,575,16,613,18,774,179,155,140,6,140,False,True,True,True,0,0
old212,73,eval-easy-016,ours,True,primary,1,False,1090,2,1121,3,1210,92,172,163,0,172,True,True,True,True,0,0
old212,74,eval-easy-016,generic,False,primary,1,False,1510,11,1556,15,1577,36,172,140,1,163,False,False,False,False,0,0
old212,74,eval-easy-016,generic,False,primary,2,False,1482,9,1557,11,1585,39,9,2,0,6,False,False,False,False,0,0
old212,75,eval-moderate-002,generic,False,primary,1,False,928,9,1011,12,1150,151,108,96,0,108,False,False,False,False,0,0
old212,75,eval-moderate-002,generic,False,primary,2,False,986,14,1070,14,1155,99,103,90,0,103,False,True,True,True,0,0
old212,76,eval-moderate-002,ours,True,primary,1,False,594,0,602,0,706,104,167,167,0,167,False,False,False,False,0,0
old212,76,eval-moderate-002,ours,True,primary,2,False,648,15,659,16,701,58,71,70,0,71,True,True,True,True,0,0
old212,78,eval-moderate-002,fixed,False,secondary_baseline,1,False,446,74,464,87,555,178,170,80,0,164,False,False,False,False,0,0
old212,78,eval-moderate-002,fixed,False,secondary_baseline,2,False,379,27,383,27,509,153,53,0,0,0,False,False,False,False,0,0
old212,79,eval-easy-037,ours,True,primary,1,False,935,0,987,0,1053,66,157,153,0,156,True,True,True,True,0,0
old212,80,eval-easy-037,generic,True,primary,1,False,1488,17,1565,23,1576,34,153,140,0,153,False,False,True,True,0,0
old212,81,eval-moderate-015,ours,False,primary,1,False,856,2,950,7,1030,87,175,168,0,175,False,False,False,False,0,0
old212,81,eval-moderate-015,ours,False,primary,2,False,882,32,973,38,1019,84,36,35,0,36,True,True,True,True,0,0
old212,82,eval-moderate-015,generic,False,primary,1,False,963,24,1055,34,1107,86,170,31,2,57,False,False,False,False,0,0
old212,82,eval-moderate-015,generic,False,primary,2,False,959,8,1067,15,1126,74,127,5,0,21,False,False,False,False,0,0
old212,83,eval-easy-027,generic,False,primary,1,False,1475,16,1576,24,1574,22,107,94,0,106,False,False,False,False,0,0
old212,83,eval-easy-027,generic,False,primary,2,False,1478,7,1573,12,1585,24,1,0,0,0,False,False,False,False,0,0
old212,84,eval-easy-027,ours,True,primary,1,False,865,7,925,7,959,41,153,142,0,152,False,True,True,True,0,0
old212,85,eval-easy-003,generic,True,primary,1,False,1392,18,1561,33,1562,34,169,163,1,166,True,True,False,False,0,1
old212,85,eval-easy-003,generic,True,primary,2,False,1476,21,1579,32,1566,19,18,16,0,17,True,True,True,True,0,0
old212,86,eval-easy-003,ours,True,primary,1,False,1145,8,1249,25,1269,45,170,156,1,169,False,False,False,False,0,0
old212,86,eval-easy-003,ours,True,primary,2,False,1192,52,1302,56,1272,26,18,18,0,18,True,True,True,True,0,0
old212,87,eval-moderate-010,generic,True,primary,1,False,1098,26,1250,56,1284,90,175,164,4,169,False,True,False,False,0,0
old212,87,eval-moderate-010,generic,True,primary,2,False,1082,19,1250,29,1327,106,11,9,0,10,True,True,True,True,0,0
old212,88,eval-moderate-010,ours,True,primary,1,False,988,10,1108,21,1198,111,173,159,0,172,False,True,True,True,0,0
old212,89,eval-easy-029,generic,True,primary,1,False,1522,9,1589,10,1590,11,176,161,0,176,False,False,True,True,0,0
old212,90,eval-easy-029,ours,True,primary,1,False,1178,15,1290,34,1298,42,172,167,1,171,False,True,True,True,0,0
old212,91,eval-hard-010,generic,False,primary,1,False,928,7,1046,26,1131,111,170,142,0,156,False,False,False,False,0,0
old212,91,eval-hard-010,generic,False,primary,2,False,933,12,1047,17,1152,122,158,139,2,144,False,False,False,False,0,0
old212,92,eval-hard-010,ours,True,primary,1,False,792,3,816,3,989,176,164,155,0,161,False,False,False,False,0,0
old212,92,eval-hard-010,ours,True,primary,2,False,687,11,727,12,896,181,124,119,1,123,False,True,True,True,0,0
old212,93,eval-easy-023,generic,True,primary,1,False,1503,41,1562,43,1553,34,177,170,3,174,False,False,False,False,0,0
old212,93,eval-easy-023,generic,True,primary,2,False,1458,17,1559,24,1569,34,36,36,0,36,True,True,True,True,0,0
old212,94,eval-easy-023,ours,True,primary,1,False,1221,12,1238,12,1361,135,176,175,0,176,False,False,False,False,0,0
old212,94,eval-easy-023,ours,True,primary,2,False,1319,26,1339,27,1360,48,43,43,0,43,True,True,True,True,0,0
