candidate_id,bunker_x,bunker_y,bunker_yaw,rm4d_reachable,ik_valid,collision_free,footprint_collision,joint_margin_rad,fk_position_residual_m,fk_orientation_residual_rad,field_relevance,valid,rejection_reason
candidate-000000,2.471173918999503,-0.47031416970765577,-3.141592653589793,True,True,True,False,0.6564431613763317,5.23691153334427e-16,1.438053314011283e-15,1.0,True,
candidate-000001,2.4688950819513344,-0.49636139635769533,2.9670597283903604,True,True,True,False,0.6564431613763304,3.9350319887992495e-16,6.469907209967232e-16,1.0,True,
candidate-000002,2.46212781211739,-0.5216171912065063,2.7925268031909276,True,True,True,False,0.65644316137633,6.004449063730082e-16,4.93988068606952e-16,1.0,True,
candidate-000003,2.451077729567168,-0.5453141697076551,2.617993877991494,True,True,True,False,0.6564431613763295,2.633125101432526e-16,7.531918663371174e-16,1.0,True,
candidate-000004,2.4688950819513344,-0.4442669430576162,-2.9670597283903604,True,True,True,False,1.0818584863349754,3.521341410782949e-12,1.0211900375540355e-13,1.0,True,
candidate-000005,2.4360805854673497,-0.5667323111606366,2.443460952792061,True,True,True,False,0.6564431613763304,1.7554167342883506e-16,6.765206919361291e-16,1.0,True,
candidate-000006,2.417592060452484,-0.5852208361755021,2.2689280275926285,True,True,True,False,0.6564431613763295,5.450014180468905e-16,7.531532382656247e-16,1.0,True,
candidate-000007,2.46212781211739,-0.4190111482088054,-2.7925268031909276,True,True,True,False,0.706964841557407,8.084880453075668e-15,2.510367664098245e-15,1.0,True,
candidate-000008,2.396173918999503,-0.6002179802753214,2.094395102393195,True,True,True,False,0.6564431614691779,4.151294043117991e-11,2.7436157548350655e-11,1.0,True,
candidate-000009,2.3724769404983532,-0.6112680628255424,1.919862177193762,True,True,True,False,0.6564431613914237,1.3781595776394579e-11,5.960455865522693e-12,1.0,True,
candidate-000010,2.4510777295671686,-0.3953141697076562,-2.617993877991494,True,True,True,False,0.6564431613700181,3.610784320287602e-11,4.571642549705539e-13,1.0,True,
candidate-000011,2.3472211456495433,-0.6180353326594866,1.7453292519943293,True,True,True,False,0.656443161378709,7.247602726375932e-12,1.5962241487089038e-12,1.0,True,
candidate-000012,2.4360805854673497,-0.37389602825467483,-2.443460952792062,True,True,True,False,1.0818584863336933,8.547068129439732e-14,4.3901489418604274e-15,1.0,True,
candidate-000013,2.321173918999503,-0.6203141697076555,1.5707963267948966,True,True,True,False,0.6564431613758668,3.597737495565791e-12,2.2039505791881666e-13,1.0,True,
candidate-000014,2.417592060452484,-0.35540750323980963,-2.2689280275926285,True,True,True,False,1.0818584863336598,3.973993651728112e-16,4.439765239281763e-16,1.0,True,
candidate-000015,2.2951266923494638,-0.6180353326594868,1.3962634015954638,True,True,True,False,0.656443161374896,1.009518147179506e-11,5.441357224417432e-13,1.0,True,
candidate-000016,2.3961739189995037,-0.34041035913998974,-2.0943951023931957,True,True,True,False,0.6564431613763291,7.631521572941402e-16,9.273699823835708e-16,1.0,True,
candidate-000017,2.2698708975006534,-0.6112680628255422,1.221730476396031,True,True,True,False,0.6564431613763295,1.6653345369377348e-16,4.381851158410427e-16,1.0,True,
candidate-000018,2.3686738503830993,-0.07094750117655207,-3.141592653589793,True,True,True,False,0.5151920218081036,5.708462815769861e-12,1.5986258976462445e-12,1.0,True,
candidate-000019,2.3663950133349307,-0.09699472782659158,2.9670597283903604,True,False,False,False,0.5366807633567205,4.931366987969701e-15,4.600846495717642e-15,0.0,False,ik_no_valid_solution
candidate-000020,2.359627743500986,-0.12225052267540239,2.7925268031909276,True,True,True,False,0.4026779159732805,7.483870296019082e-13,9.787323157151835e-14,0.805355831946561,True,
candidate-000021,2.3683610972673783,-0.02094847933123383,-3.141592653589793,True,True,True,False,0.8799962692631129,1.164751323728329e-10,7.630809965262154e-11,1.0,True,
candidate-000022,2.3724769404983537,-0.3293602765897694,-1.9198621771937623,True,True,True,False,1.0818584863336576,7.447602459741819e-16,1.3441845638979288e-15,1.0,True,
candidate-000023,2.2461739189995025,-0.6002179802753216,1.0471975511965974,True,True,True,False,0.6564431613763304,4.506414950445284e-15,1.561437436601776e-15,1.0,True,
candidate-000024,2.348577660950765,-0.1459475011765517,2.617993877991494,True,True,True,False,0.22814499077648343,9.32109136551034e-14,2.0613722109520666e-14,0.45628998155296685,True,
candidate-000025,2.3660822602192098,-0.04699570598127349,2.9670597283903604,True,True,True,False,0.3542835027731983,8.064769852659565e-11,2.5502518412979875e-12,0.7085670055463966,True,
candidate-000026,2.3663950133349307,-0.044900274526512504,-2.9670597283903604,True,True,True,False,0.11451966188879448,7.478423110049185e-12,1.6739377327091603e-12,0.22903932377758895,True,
candidate-000027,2.3593149903852653,-0.07225150083008425,2.7925268031909276,True,True,True,False,0.2202539713050351,2.7928509224031823e-16,6.682745407252604e-16,0.4405079426100702,True,
candidate-000028,2.333580516850946,-0.1673656426295328,2.443460952792061,True,True,True,False,0.9094920921211163,3.6667586333875265e-13,1.2923509833099712e-13,1.0,True,
candidate-000029,2.348264907835044,-0.09594847933123374,2.617993877991494,True,True,True,False,0.879996269582612,2.990142839510715e-11,1.3704954404264327e-11,1.0,True,
candidate-000030,2.3472211456495424,-0.32259300675582503,-1.745329251994329,True,True,True,False,1.0818584863336589,2.884444029575346e-16,8.528870208100764e-16,1.0,True,
candidate-000031,2.36608226021921,0.005098747318805757,-2.9670597283903604,True,True,True,False,0.3542835029928506,1.9141791241147513e-16,1.0347057871053662e-15,0.7085670059857012,True,
