candidate_id,bunker_x,bunker_y,bunker_yaw,rm4d_reachable,ik_valid,collision_free,footprint_collision,joint_margin_rad,fk_position_residual_m,fk_orientation_residual_rad,field_relevance,valid,rejection_reason
candidate-000000,2.6489739597060837,-0.1814053066436834,-3.141592653589793,True,True,True,False,0.6564431169875351,3.521787733787174e-16,4.3669094246675763e-16,1.0,True,
candidate-000001,2.6466951226579147,-0.2074525332937229,2.9670597283903604,True,True,True,False,0.6564431169875347,2.2887833992611187e-16,4.473847989005309e-16,1.0,True,
candidate-000002,2.6399278528239707,-0.23270832814253387,2.7925268031909276,True,True,True,False,0.6564431169875351,6.057141688996291e-16,3.0290268732992293e-16,1.0,True,
candidate-000003,2.6466951226579147,-0.15535807999364376,-2.9670597283903604,True,True,True,False,0.6564431169875351,2.603703785810335e-16,2.800896566042074e-16,1.0,True,
candidate-000004,2.628877770273749,-0.2564053066436826,2.617993877991494,True,True,True,False,0.6564431171056295,5.250873752202531e-11,3.5307168891215177e-11,1.0,True,
candidate-000005,2.61388062617393,-0.2778234480966642,2.443460952792061,True,True,True,False,0.656443117009688,1.6471393255396023e-11,8.10979001740174e-12,1.0,True,
candidate-000006,2.595392101159064,-0.2963119731115298,2.2689280275926285,True,True,True,False,0.6564431169908742,7.801939155132843e-12,1.820010310922378e-12,1.0,True,
candidate-000007,2.6399278528239702,-0.13010228514483305,-2.7925268031909276,True,True,True,False,0.6564431169875351,5.382005793715205e-16,7.097078271602337e-16,1.0,True,
candidate-000008,2.573973959706084,-0.3113091172113488,2.094395102393195,True,True,True,False,0.6564431169872407,3.5103975601299634e-12,2.826517054142439e-13,1.0,True,
candidate-000009,2.550276981204934,-0.3223591997615699,1.919862177193762,True,True,True,False,0.6564431169869058,3.4995417293857238e-12,2.1316046218182073e-13,1.0,True,
candidate-000010,2.62887777027375,-0.10640530664368307,-2.617993877991494,True,True,True,False,0.6564431169875831,6.615214653556785e-12,5.81039782151747e-14,1.0,True,
candidate-000011,2.525021186356123,-0.32912646959551406,1.7453292519943293,True,True,True,False,0.6564431169875338,1.6883057536160649e-16,7.132793935348057e-16,1.0,True,
candidate-000012,2.6138806261739305,-0.08498716519070229,-2.443460952792062,True,True,True,False,1.0818584659115567,1.1729809684177493e-15,1.2626405924006746e-15,1.0,True,
candidate-000013,2.498973959706084,-0.33140530664368295,1.5707963267948966,True,True,True,False,0.6564431169875329,3.078742732723249e-15,1.2097382299747923e-15,1.0,True,
candidate-000014,2.595392101159064,-0.06649864017583677,-2.2689280275926285,True,True,True,False,1.0818584659115584,7.076311083754595e-16,1.1150379586173483e-15,1.0,True,
candidate-000015,2.4729267330560445,-0.3291264695955143,1.3962634015954638,True,True,True,False,0.6564431169874094,3.870925609169616e-13,4.3948980894803314e-14,1.0,True,
candidate-000016,2.3709098426673885,0.12302916383476105,-3.141592653589793,True,True,True,False,0.9133333083115547,7.628075758914772e-13,1.3481534912639488e-13,1.0,True,
candidate-000017,2.36863100561922,0.09698193718472148,2.9670597283903604,True,True,True,False,0.1145197396054849,1.2448375663609568e-14,3.640743678308067e-15,0.2290394792109698,True,
candidate-000018,2.0154316665491536,0.04470122307507263,-3.141592653589793,True,True,True,False,0.5928999646948778,2.1103821920200813e-16,9.616021499012294e-16,1.0,True,
candidate-000019,2.447670938207234,-0.3223591997615698,1.221730476396031,True,True,True,False,0.6564431169805132,2.2245522777459397e-11,1.3800233064236563e-12,1.0,True,
candidate-000020,2.5739739597060836,-0.051501496076017506,-2.0943951023931957,True,True,True,False,1.0818584659113488,7.969782236273582e-12,1.8839799447926115e-13,1.0,True,
candidate-000021,2.361863735785275,0.07172614233591057,2.7925268031909276,True,True,True,False,0.9133333083124997,2.0253964504621835e-16,3.0713498058146534e-16,1.0,True,
candidate-000022,2.347150372147496,0.16702334027453972,-3.141592653589793,True,True,True,False,0.08039740054745836,2.2297074014103504e-11,1.1381442019767507e-11,0.16079480109491673,True,
candidate-000023,2.013152829500985,0.01865399642503309,2.9670597283903604,True,True,True,False,0.5079454705390254,2.304548635772793e-15,6.259110006536848e-15,1.0,True,
candidate-000024,2.3686310056192195,0.1490763904848007,-2.9670597283903604,True,True,True,False,0.43735246843044173,2.357731573515445e-13,5.275567560919564e-14,0.8747049368608835,True,
candidate-000025,2.350813653235054,0.04802916383476173,2.617993877991494,True,True,True,False,0.05759236597722861,7.929924145966898e-11,7.27731543452223e-12,0.11518473195445722,True,
candidate-000026,2.3448715350993274,0.14097611362450005,2.9670597283903604,True,True,True,False,0.3542835832646234,1.3947004136484323e-16,1.0498513964687437e-15,0.7085671665292468,True,
candidate-000027,2.00638555966704,-0.006601798423777887,2.7925268031909276,True,True,True,False,0.5928999647935536,3.216666801063645e-11,7.167770709944409e-13,1.0,True,
candidate-000028,2.013152829500985,0.07074844972511221,-2.9670597283903604,True,True,True,False,0.5079454705389819,1.7783896733860128e-14,2.1423986856384625e-14,1.0,True,
candidate-000029,2.338104265265383,0.1157203187756892,2.7925268031909276,True,True,True,False,0.8839111235410235,2.7336071744532853e-16,5.089178045612479e-16,1.0,True,
candidate-000030,2.4239739597060828,-0.31130911721134924,1.0471975511965974,True,True,True,False,0.6564431169875364,2.824564531856924e-16,1.2436931094505769e-15,1.0,True,
