candidate_id,bunker_x,bunker_y,bunker_yaw,rm4d_reachable,ik_valid,collision_free,footprint_collision,joint_margin_rad,fk_position_residual_m,fk_orientation_residual_rad,field_relevance,valid,rejection_reason
candidate-000000,2.3444420524036076,-0.5396988385053973,2.9670597283903604,True,True,True,False,0.6564431349858144,3.0531133177191805e-16,6.004792156086998e-16,1.0,True,
candidate-000001,2.346720889451776,-0.5136516118553578,-3.141592653589793,True,True,True,False,1.0818584742211874,1.040888559103685e-13,2.3705125913434103e-14,1.0,True,
candidate-000002,2.337674782569663,-0.5649546333542083,2.7925268031909276,True,True,True,False,0.6564431349858144,3.188872858294072e-16,1.4353351605531387e-15,1.0,True,
candidate-000003,2.326624700019442,-0.5886516118553575,2.617993877991494,True,True,True,False,0.6564431349858131,4.2001807449902774e-16,3.8429737181049167e-16,1.0,True,
candidate-000004,2.311627555919623,-0.6100697533083386,2.443460952792061,True,True,True,False,0.6564431349858135,2.3551386880256624e-16,1.1694027982004444e-16,1.0,True,
candidate-000005,2.3444420524036076,-0.487604385205318,-2.9670597283903604,True,True,True,False,0.6564431349786459,2.2210930498324983e-11,5.444897949744484e-13,1.0,True,
candidate-000006,2.293139030904757,-0.6285582783232042,2.2689280275926285,True,True,True,False,0.6564431349858131,3.433175098891678e-16,5.839940641546552e-16,1.0,True,
candidate-000007,2.271720889451776,-0.6435554224230231,2.094395102393195,True,True,True,False,0.6564431349858135,4.579669976578771e-16,8.064405795940112e-16,1.0,True,
candidate-000008,2.3376747825696627,-0.46234859035650744,-2.7925268031909276,True,True,True,False,0.6564431349858157,2.0069123779320876e-15,1.5896483393672452e-15,1.0,True,
candidate-000009,2.2480239109506264,-0.6546055049732444,1.919862177193762,True,True,True,False,0.6564431350591415,3.377554579517482e-11,2.233702497181373e-11,1.0,True,
candidate-000010,2.3266247000194418,-0.43865161185535767,-2.617993877991494,True,True,True,False,0.6564431349857398,4.4269741214809947e-13,3.8211081037696706e-14,1.0,True,
candidate-000011,2.2227681161018156,-0.6613727748071887,1.7453292519943293,True,True,True,False,0.6564431349966564,1.1948730068849012e-11,4.702939281999004e-12,1.0,True,
candidate-000012,2.311627555919623,-0.41723347040237685,-2.443460952792062,True,True,True,False,1.0818584742212167,1.468563741512148e-14,5.644301290520122e-15,1.0,True,
candidate-000013,2.1967208894517762,-0.6636516118553575,1.5707963267948966,True,True,True,False,0.6564431349875446,6.9996614075462274e-12,1.3393600128522273e-12,1.0,True,
candidate-000014,2.170673662801737,-0.6613727748071889,1.3962634015954638,True,True,True,False,0.6564431349851327,3.980946864171293e-12,1.3464806019061387e-13,1.0,True,
candidate-000015,2.293139030904757,-0.39874494538751165,-2.2689280275926285,True,True,True,False,0.7074615201108405,2.741875807792018e-14,1.3397694056405319e-14,1.0,True,
candidate-000016,2.3018625697807162,-0.1295927697139603,2.9670597283903604,True,True,True,False,0.5153260815277196,1.6184142622847344e-16,4.811570108702448e-16,1.0,True,
candidate-000017,2.1454178679529265,-0.6546055049732442,1.221730476396031,True,True,True,False,0.6564431349817732,3.4394506153961473e-11,1.5109017942216929e-12,1.0,True,
candidate-000018,2.3041414068288844,-0.10354554306392073,-3.141592653589793,True,True,True,False,0.11451970812624923,8.349312414951554e-12,2.0283844180443473e-12,0.22903941625249846,True,
candidate-000019,2.2950952999467717,-0.15484856456277138,2.7925268031909276,True,False,False,False,0.5399163720485229,2.113348901174662e-15,5.265561409145399e-15,0.0,False,ik_no_valid_solution
candidate-000020,2.2717208894517764,-0.3837478012876919,-2.0943951023931957,True,True,True,False,1.081858474221205,5.585701844806365e-16,8.256899739770944e-16,1.0,True,
