candidate_id,bunker_x,bunker_y,bunker_yaw,rm4d_reachable,ik_valid,collision_free,footprint_collision,joint_margin_rad,fk_position_residual_m,fk_orientation_residual_rad,field_relevance,valid,rejection_reason
candidate-000000,2.356783798120113,-0.5351014765584352,-3.141592653589793,True,True,True,False,1.0818584651809822,2.423651445728339e-16,5.254970570450003e-16,1.0,True,
candidate-000001,2.3545049610719446,-0.5611487032084752,2.9670597283903604,True,True,True,False,1.0818584651809051,2.7672020613473556e-13,3.0700822231389004e-14,1.0,True,
candidate-000002,2.354504961071945,-0.5090542499083957,-2.9670597283903604,True,True,True,False,0.7078118693380344,3.43867540074436e-12,1.6598531680460825e-13,1.0,True,
candidate-000003,2.3477376912379997,-0.5864044980572859,2.7925268031909276,True,True,True,False,0.7078118693310445,1.1185777500624364e-12,8.138938121824367e-14,1.0,True,
candidate-000004,2.336687608687779,-0.6101014765584348,2.617993877991494,True,True,True,False,0.6564431154438264,3.8956806801599406e-16,7.566642743272668e-16,1.0,True,
candidate-000005,2.3216904645879595,-0.6315196180114163,2.443460952792061,True,True,True,False,0.6564431154438264,1.6653345369377348e-16,3.450740769876225e-16,1.0,True,
candidate-000006,2.3477376912379997,-0.48379845505958496,-2.7925268031909276,True,True,True,False,1.0818584651809815,2.73417074670429e-15,1.8519829326351457e-15,1.0,True,
candidate-000007,2.303201939573094,-0.6500081430262818,2.2689280275926285,True,True,True,False,0.6564431154438259,5.551115123125783e-17,4.970907082484213e-16,1.0,True,
candidate-000008,2.281783798120113,-0.6650052871261013,2.094395102393195,True,True,True,False,0.6564431154438255,4.47545209131181e-16,5.879037799877863e-16,1.0,True,
candidate-000009,2.336687608687779,-0.46010147655843564,-2.617993877991494,True,True,True,False,0.7077981739570216,1.0682052346439142e-12,2.632144791823085e-14,1.0,True,
candidate-000010,2.2580868196189634,-0.6760553696763215,1.919862177193762,True,True,True,False,0.6564431154438259,4.355503409735122e-16,2.8410312590144837e-16,1.0,True,
candidate-000011,2.3216904645879604,-0.4386833351054545,-2.443460952792062,True,True,True,False,0.7077981739537904,4.1540741810552243e-16,7.901902844520901e-16,1.0,True,
candidate-000012,2.2328310247701526,-0.6828226395102661,1.7453292519943293,True,True,True,False,0.6564431155688228,5.551251874259499e-11,3.7103317849381554e-11,1.0,True,
candidate-000013,2.2067837981201133,-0.6851014765584349,1.5707963267948966,True,True,True,False,0.6564431154681318,1.7094843947748045e-11,8.901878007784298e-12,1.0,True,
candidate-000014,2.303201939573094,-0.42019481009058895,-2.2689280275926285,True,True,True,False,0.7078118693276085,8.989550626504553e-16,9.103072751890538e-16,1.0,True,
candidate-000015,2.180736571470074,-0.6828226395102666,1.3962634015954638,True,True,True,False,0.6564431154476926,7.911459034712669e-12,2.014788883109101e-12,1.0,True,
candidate-000016,2.414344298882529,-0.1268285424175841,-3.141592653589793,True,True,True,False,0.11451974230051709,2.7449121799615617e-12,5.996170235059033e-13,0.22903948460103418,True,
candidate-000017,2.2817837981201134,-0.40519766599076945,-2.0943951023931957,True,True,True,False,1.081858465180975,2.888852791316629e-14,1.9595846475858523e-15,1.0,True,
