candidate_id,bunker_x,bunker_y,bunker_yaw,rm4d_reachable,ik_valid,collision_free,footprint_collision,joint_margin_rad,fk_position_residual_m,fk_orientation_residual_rad,field_relevance,valid,rejection_reason
candidate-000000,2.3515786244542625,-0.5341567067840186,-3.141592653589793,True,True,True,False,1.0818584726141167,1.5515838457795457e-16,2.624899215822445e-16,1.0,True,
candidate-000001,2.349299787406094,-0.5602039334340582,2.9670597283903604,True,True,True,False,1.0818584726140867,2.947678771693495e-13,4.155378300065425e-14,1.0,True,
candidate-000002,2.3492997874060935,-0.5081094801339789,-2.9670597283903604,True,True,True,False,0.7075238151767227,2.8126287254876944e-12,1.760363624369415e-13,1.0,True,
candidate-000003,2.3425325175721494,-0.5854597282828693,2.7925268031909276,True,True,True,False,0.7075238151718115,1.1787390014341437e-12,6.934454329493449e-14,1.0,True,
candidate-000004,2.3314824350219276,-0.6091567067840185,2.617993877991494,True,True,True,False,0.6564431315206183,6.713178136967714e-16,4.70645133398817e-16,1.0,True,
candidate-000005,2.316485290922109,-0.6305748482369995,2.443460952792061,True,True,True,False,0.6564431315206174,9.614813431917819e-17,9.072015105657672e-16,1.0,True,
candidate-000006,2.342532517572149,-0.4828536852851682,-2.7925268031909276,True,True,True,False,1.0818584726141167,1.871650067679838e-15,1.5635043803701275e-15,1.0,True,
candidate-000007,2.297996765907243,-0.6490633732518649,2.2689280275926285,True,True,True,False,0.6564431315206183,2.237726045655905e-16,3.242352728043908e-16,1.0,True,
candidate-000008,2.276578624454262,-0.664060517351684,2.094395102393195,True,True,True,False,0.6564431315206174,1.415262216750919e-16,6.679023316899436e-16,1.0,True,
candidate-000009,2.3314824350219276,-0.45915670678401876,-2.617993877991494,True,True,True,False,0.7075101263380423,8.611912144992583e-13,3.8275971331237035e-14,1.0,True,
candidate-000010,2.2528816459531122,-0.6751105999019051,1.919862177193762,True,True,True,False,0.6564431315206178,8.102774327609085e-16,4.2801753264993727e-16,1.0,True,
candidate-000011,2.316485290922109,-0.43773856533103794,-2.443460952792062,True,True,True,False,0.7075101263354071,1.2851760658783268e-15,1.29949175649864e-15,1.0,True,
candidate-000012,2.227625851104302,-0.6818778697358493,1.7453292519943293,True,True,True,False,0.6564431316504074,5.772545216811267e-11,3.823858695422757e-11,1.0,True,
candidate-000013,2.2015786244542626,-0.6841567067840182,1.5707963267948966,True,True,True,False,0.6564431315464403,1.7565164646832986e-11,8.939937901758806e-12,1.0,True,
