candidate_id,bunker_x,bunker_y,bunker_yaw,rm4d_reachable,ik_valid,collision_free,footprint_collision,joint_margin_rad,fk_position_residual_m,fk_orientation_residual_rad,field_relevance,valid,rejection_reason
candidate-000000,2.46912601312171,-0.47383246879140223,-3.141592653589793,True,True,True,False,0.6564431373381598,6.849500233248632e-16,3.871511320696552e-16,1.0,True,
candidate-000001,2.4668471760735415,-0.4998796954414418,2.9670597283903604,True,True,True,False,0.6564431373381594,6.938893903907228e-16,7.745959595477963e-16,1.0,True,
candidate-000002,2.460079906239597,-0.5251354902902526,2.7925268031909276,True,True,True,False,0.656443137338159,3.964289135040461e-16,7.600189633839247e-16,1.0,True,
candidate-000003,2.4490298236893757,-0.5488324687914018,2.617993877991494,True,True,True,False,0.6564431373381581,4.272916553455145e-16,4.894966796916138e-16,1.0,True,
candidate-000004,2.4668471760735415,-0.4477852421413627,-2.9670597283903604,True,True,True,False,1.08185847530566,2.423383529389432e-12,1.3248008653148707e-13,1.0,True,
candidate-000005,2.434032679589557,-0.5702506102443831,2.443460952792061,True,True,True,False,0.656443137338159,1.594436429147036e-16,3.121269655613908e-16,1.0,True,
candidate-000006,2.415544154574691,-0.5887391352592481,2.2689280275926285,True,True,True,False,0.6564431373381581,3.314002943249781e-16,6.394249340535411e-16,1.0,True,
candidate-000007,2.460079906239597,-0.42252944729255176,-2.7925268031909276,True,True,True,False,0.7074052597508591,2.633125101432526e-16,7.002732700264561e-16,1.0,True,
candidate-000008,2.39412601312171,-0.6037362793590675,2.094395102393195,True,True,True,False,0.6564431374404736,4.566570471750678e-11,3.0468868632215885e-11,1.0,True,
candidate-000009,2.3704290346205603,-0.6147863619092888,1.919862177193762,True,True,True,False,0.6564431373558062,1.4740705359503013e-11,6.748093178486795e-12,1.0,True,
candidate-000010,2.4490298236893757,-0.39883246879140233,-2.617993877991494,True,True,True,False,0.656443137334449,2.3303311215567308e-11,3.549209044438784e-13,1.0,True,
