candidate_id,bunker_x,bunker_y,bunker_yaw,rm4d_reachable,ik_valid,collision_free,footprint_collision,joint_margin_rad,fk_position_residual_m,fk_orientation_residual_rad,field_relevance,valid,rejection_reason
candidate-000000,2.5246459131644854,-0.4068281044692598,-3.141592653589793,True,True,True,False,0.6564431217872193,2.5589376332604516e-16,2.19858875625368e-16,1.0,True,
candidate-000001,2.5223670761163164,-0.43287533111929927,2.9670597283903604,True,True,True,False,0.6564431217872193,3.597533769998862e-16,4.608697034119376e-16,1.0,True,
candidate-000002,2.515599806282372,-0.45813112596811006,2.7925268031909276,True,True,True,False,0.6564431217872193,1.798766884999431e-16,3.9299391655330626e-16,1.0,True,
candidate-000003,2.5223670761163173,-0.38078087781922015,-2.9670597283903604,True,True,True,False,0.6564431217872189,6.106226635438361e-16,1.3136628922319466e-15,1.0,True,
candidate-000004,2.504549723732151,-0.48182810446925955,2.617993877991494,True,True,True,False,0.6564431217872184,3.705655205693184e-16,1.114958634164351e-16,1.0,True,
candidate-000005,2.489552579632332,-0.5032462459222405,2.443460952792061,True,True,True,False,0.6564431219252631,6.123297183441381e-11,4.0809718033711524e-11,1.0,True,
candidate-000006,2.5155998062823723,-0.3555250829704093,-2.7925268031909276,True,True,True,False,1.081858468124351,6.684427777288335e-16,1.2715908199522606e-15,1.0,True,
candidate-000007,2.4710640546174663,-0.5217347709371061,2.2689280275926285,True,True,True,False,0.6564431218158187,1.8421493830550338e-11,9.972381108883511e-12,1.0,True,
candidate-000008,2.449645913164485,-0.536731915036925,2.094395102393195,True,True,True,False,0.6564431217917699,7.913548713025313e-12,2.174498551544054e-12,1.0,True,
candidate-000009,2.5045497237321506,-0.3318281044692599,-2.617993877991494,True,True,True,False,0.7076852115043328,1.5622222714862009e-15,3.3976597859671317e-15,1.0,True,
candidate-000010,2.4259489346633356,-0.547781997587146,1.919862177193762,True,True,True,False,0.6564431217872153,3.1909632437867873e-12,3.8378864319673436e-13,1.0,True,
candidate-000011,2.400693139814525,-0.5545492674210906,1.7453292519943293,True,True,True,False,0.6564431217865558,3.6840527719508804e-12,1.8094959506276347e-13,1.0,True,
candidate-000012,2.489552579632332,-0.31040996301627866,-2.443460952792062,True,True,True,False,1.0818584681262962,3.931348867708925e-12,7.386900471202365e-14,1.0,True,
candidate-000013,2.3746459131644855,-0.5568281044692593,1.5707963267948966,True,True,True,False,0.6564431217872189,4.742874840267547e-16,9.331075913795005e-16,1.0,True,
candidate-000014,2.471064054617466,-0.2919214380014133,-2.2689280275926285,True,True,True,False,1.0818584681257926,6.6353322339799675e-12,2.1356986359230128e-13,1.0,True,
candidate-000015,2.3485986865144466,-0.5545492674210907,1.3962634015954638,True,True,True,False,0.6564431217872166,1.8013347191190246e-15,2.6637890339889308e-15,1.0,True,
candidate-000016,2.4496459131644857,-0.27692429390159357,-2.0943951023931957,True,True,True,False,0.6564431217872184,2.4394924734781536e-16,5.566897217685012e-16,1.0,True,
candidate-000017,2.311204574372821,-0.05406360101855573,-3.141592653589793,True,True,True,False,0.4588505930310105,5.834224217968549e-12,2.2978786909253246e-12,0.917701186062021,True,
candidate-000018,2.3233428916656353,-0.547781997587146,1.221730476396031,True,True,True,False,0.6564431217871629,2.1702986371722503e-13,2.4818970400416393e-14,1.0,True,
