candidate_id,bunker_x,bunker_y,bunker_yaw,rm4d_reachable,ik_valid,collision_free,footprint_collision,joint_margin_rad,fk_position_residual_m,fk_orientation_residual_rad,field_relevance,valid,rejection_reason
candidate-000000,2.483722664461083,-0.5062813027221713,-3.141592653589793,True,True,True,False,0.6564431401025819,3.554447978966673e-16,4.540857205207661e-16,1.0,True,
candidate-000001,2.4814438274129142,-0.5323285293722108,2.9670597283903604,True,True,True,False,0.6564431401025828,2.0770370905276122e-16,4.715796073095471e-16,1.0,True,
candidate-000002,2.4746765575789698,-0.5575843242210217,2.7925268031909276,True,True,True,False,0.6564431401025819,4.458205583648681e-16,4.3257928010596453e-16,1.0,True,
candidate-000003,2.4814438274129142,-0.48023407607213187,-2.9670597283903604,True,True,True,False,0.6564431401025828,3.4219371797089426e-16,7.298318914712294e-16,1.0,True,
candidate-000004,2.463626475028748,-0.5812813027221709,2.617993877991494,True,True,True,False,0.6564431401025819,3.0938441821792777e-16,3.406955483362248e-16,1.0,True,
candidate-000005,2.44862933092893,-0.6026994441751524,2.443460952792061,True,True,True,False,0.6564431401025823,3.122502256758253e-16,4.695224493024809e-16,1.0,True,
candidate-000006,2.4301408059140637,-0.6211879691900177,2.2689280275926285,True,True,True,False,0.6564431401605004,2.8126970526689076e-11,1.8177433402919822e-11,1.0,True,
candidate-000007,2.4746765575789698,-0.45497828122332085,-2.7925268031909276,True,True,True,False,0.7073552505688006,1.8906416838689214e-15,3.167826123641984e-15,1.0,True,
candidate-000008,2.4087226644610826,-0.6361851132898366,2.094395102393195,True,True,True,False,0.6564431401105981,1.039774231398356e-11,3.624581232472238e-12,1.0,True,
candidate-000009,2.385025685959933,-0.6472351958400575,1.919862177193762,True,True,True,False,0.6564431401037343,6.529568907391033e-12,1.0788292961796425e-12,1.0,True,
candidate-000010,2.463626475028748,-0.4312813027221715,-2.617993877991494,True,True,True,False,0.6564431401025765,1.3693228349676268e-13,3.2547311850535973e-15,1.0,True,
candidate-000011,2.3597698911111222,-0.6540024656740022,1.7453292519943293,True,True,True,False,0.6564431401019006,3.954712202208983e-12,2.409828703822962e-13,1.0,True,
candidate-000012,2.44862933092893,-0.4098631612691899,-2.443460952792062,True,True,True,False,1.0818584765842476,1.4966020642221564e-12,7.653162852191453e-14,1.0,True,
candidate-000013,2.3337226644610833,-0.6562813027221708,1.5707963267948966,True,True,True,False,0.656443140102581,3.775166431889533e-16,4.713838511866008e-16,1.0,True,
candidate-000014,2.4301408059140632,-0.391374636254325,-2.2689280275926285,True,True,True,False,1.08185847658358,1.5735385869920192e-16,8.538176346200809e-16,1.0,True,
candidate-000015,2.307675437811043,-0.6540024656740024,1.3962634015954638,True,True,True,False,0.6564431401025823,2.7894008272968645e-16,1.8854663566580417e-16,1.0,True,
candidate-000016,2.408722664461083,-0.37637749215450544,-2.0943951023931957,True,True,True,False,0.6564431401025819,6.84737700898036e-15,2.86537359702326e-15,1.0,True,
candidate-000017,2.282419642962233,-0.6472351958400575,1.221730476396031,True,True,True,False,0.6564431401025632,3.162310286318542e-14,5.420051582170179e-15,1.0,True,
candidate-000018,2.2943117271909186,-0.14005255338313075,-3.141592653589793,True,True,True,False,0.5152987688579138,1.2412670766236366e-16,3.4887559901481145e-16,1.0,True,
candidate-000019,2.29203289014275,-0.16609978003317033,2.9670597283903604,True,False,False,False,0.35116294907208534,3.863568399189578e-16,3.554344354615417e-16,0.0,False,ik_no_valid_solution
candidate-000020,2.285265620308805,-0.1913555748819812,2.7925268031909276,True,True,True,False,0.17660446744559666,3.9035718848967983e-14,5.4334669971596796e-15,0.3532089348911933,True,
candidate-000021,2.282799521316165,-0.09139590824706226,-3.141592653589793,True,True,True,False,0.8818680393531944,2.7145734275903045e-15,6.274623293530221e-15,1.0,True,
candidate-000022,2.3850256859599335,-0.36532740960428484,-1.9198621771937623,True,True,True,False,1.0818584765835781,1.6653345369377348e-16,5.642342926124275e-16,1.0,True,
candidate-000023,2.2920328901427505,-0.11400532673309118,-2.9670597283903604,True,True,True,False,0.11451969913043403,6.96970358209781e-16,5.328885191813076e-16,0.22903939826086805,True,
candidate-000024,2.258722664461083,-0.6361851132898372,1.0471975511965974,True,True,True,False,0.6564431401014761,3.5755474773737892e-12,1.8677781216329767e-13,1.0,True,
candidate-000025,2.274215537758584,-0.2150525533831305,2.617993877991494,True,True,True,False,0.11451969910609838,9.148107388639715e-12,4.273784678467522e-13,0.22903939821219677,True,
candidate-000026,2.2805206842679966,-0.11744313489710184,2.9670597283903604,True,True,True,False,0.16871344562860413,3.610892649124533e-16,7.386327535655719e-16,0.33742689125720826,True,
candidate-000027,2.273753414434052,-0.14269892974591283,2.7925268031909276,True,True,True,False,0.8818680393437992,5.146223299739836e-12,2.2501943689236603e-12,1.0,True,
candidate-000028,2.2592183936587658,-0.23647069483611177,2.443460952792061,True,True,True,False,0.9113285539055096,1.6653345369377348e-16,6.029693948600637e-16,1.0,True,
candidate-000029,2.280520684267997,-0.06534868159702266,-2.9670597283903604,True,True,True,False,0.8818680393532037,4.202472794680645e-16,1.1331730265188131e-15,1.0,True,
candidate-000030,2.3597698911111222,-0.3585601397703407,-1.745329251994329,True,True,True,False,1.0818584765835788,3.2009291313835888e-16,6.640026139407062e-16,1.0,True,
candidate-000031,2.2627033318838308,-0.16639590824706196,2.617993877991494,True,True,True,False,0.8818680393523768,4.206788090584109e-13,2.555862725725466e-13,1.0,True,
candidate-000032,2.2407298686438994,-0.25495921985097736,2.2689280275926285,True,True,True,False,0.1145196991337869,6.514684576959757e-13,1.4515114788482425e-13,0.2290393982675738,True,
candidate-000033,2.2373045230081017,-0.6211879691900181,0.8726646259971647,True,True,True,False,0.6564431401025823,3.477763656540197e-16,5.142523107730234e-16,1.0,True,
candidate-000034,2.285265620308805,-0.08874953188428031,-2.7925268031909276,True,True,True,False,0.11451969917820248,9.260248981937657e-12,2.147275780718884e-12,0.22903939835640497,True,
candidate-000035,1.9306907994889326,-0.1233247042342677,-3.141592653589793,True,True,True,False,0.504966338934489,8.299523369882437e-16,2.893346966725076e-15,1.0,True,
candidate-000036,2.2477061877840123,-0.18781404970004345,2.443460952792061,True,True,True,False,0.35428354147646646,1.6883057536160649e-16,5.210154063768623e-16,0.7085670829529329,True,
candidate-000037,1.9284119624407638,-0.14937193088430725,2.9670597283903604,True,True,True,False,0.5049663389344858,1.849006916655845e-15,4.9529504903221196e-15,1.0,True,
candidate-000038,2.2193117271909184,-0.2699563639507963,2.094395102393195,True,True,True,False,0.11451969929096473,3.112624924023862e-11,7.2041788312924706e-12,0.22903939858192945,True,
candidate-000039,2.333722664461083,-0.3562813027221718,-1.5707963267948963,True,True,True,False,0.707355250568797,8.8470216988485605e-16,1.4987515816866636e-15,1.0,True,
candidate-000040,2.2292176627691465,-0.20630257471490887,2.2689280275926285,True,True,True,False,0.8818680393531992,1.8867667871799543e-15,1.1626848629488316e-15,1.0,True,
candidate-000041,1.921644692606819,-0.1746277257331182,2.7925268031909276,True,True,True,False,0.5049590907643924,4.109140288591297e-11,3.9206024769914574e-12,1.0,True,
candidate-000042,2.273753414434052,-0.04009288674821185,-2.7925268031909276,True,True,True,False,0.3542835414764678,1.7567876183194558e-16,5.950683610151381e-16,0.7085670829529356,True,
candidate-000043,1.928411962440764,-0.09727747758422822,-2.9670597283903604,True,True,True,False,0.5902530933794901,2.1474979826287633e-15,3.001799478265431e-15,1.0,True,
candidate-000044,2.2188159979932363,-0.602699444175153,0.6981317007977319,True,True,True,False,0.6564431401025832,2.391654643720554e-16,2.8523474628534943e-16,1.0,True,
candidate-000045,2.274215537758584,-0.0650525533831308,-2.617993877991494,True,True,True,False,0.1145196991527051,4.31698721967551e-12,1.0098025117250625e-12,0.2290393983054102,True,
candidate-000046,2.1956147486897692,-0.2810064465010172,1.919862177193762,True,True,True,False,0.91132855390551,9.062099802400752e-16,5.218826620411748e-16,1.0,True,
candidate-000047,1.9105946100565985,-0.19832470423426746,2.617993877991494,True,True,True,False,0.5049663388996968,1.3459805083806093e-11,7.257710377014892e-13,1.0,True,
candidate-000048,2.2077995213161645,-0.2212997188147275,2.094395102393195,True,True,True,False,0.8818680393531944,2.75119924295502e-15,2.5045578841158e-15,1.0,True,
candidate-000049,2.3076754378110444,-0.35856013977034035,-1.3962634015954638,True,True,True,False,1.0818584765835808,5.148790197561115e-15,5.586796442949557e-15,1.0,True,
candidate-000050,1.8955974659567796,-0.2197428456872486,2.443460952792061,True,True,True,False,0.504966338934203,1.0712850589564115e-13,2.3946897616106727e-14,1.0,True,
