candidate_id,bunker_x,bunker_y,bunker_yaw,rm4d_reachable,ik_valid,collision_free,footprint_collision,joint_margin_rad,fk_position_residual_m,fk_orientation_residual_rad,field_relevance,valid,rejection_reason
candidate-000000,2.479336864091079,-0.5087023191748027,-3.141592653589793,True,True,True,False,0.6564431137474966,1.942890293094024e-16,7.624187099011569e-16,1.0,True,
candidate-000001,2.477058027042911,-0.5347495458248421,2.9670597283903604,True,True,True,False,0.6564431137474958,1.4946834900704541e-16,5.581515469928575e-16,1.0,True,
candidate-000002,2.470290757208966,-0.5600053406736532,2.7925268031909276,True,True,True,False,0.6564431137474958,3.2487068343022356e-16,4.0405122221462938e-16,1.0,True,
candidate-000003,2.4770580270429106,-0.48265509252476313,-2.9670597283903604,True,True,True,False,0.6564431137474971,5.688200336284365e-16,5.976243029917218e-16,1.0,True,
candidate-000004,2.459240674658745,-0.5837023191748024,2.617993877991494,True,True,True,False,0.6564431137474962,2.498001805406602e-16,9.379750662767929e-16,1.0,True,
candidate-000005,2.4442435305589263,-0.6051204606277835,2.443460952792061,True,True,True,False,0.6564431137474958,3.0088327379293205e-16,6.657625563264383e-16,1.0,True,
candidate-000006,2.4257550055440595,-0.623608985642649,2.2689280275926285,True,True,True,False,0.6564431138057958,2.831481598329278e-11,1.831987818327078e-11,1.0,True,
candidate-000007,2.470290757208966,-0.45739929767595194,-2.7925268031909276,True,True,True,False,0.7078282567834542,1.631687946612622e-15,9.128033540039927e-16,1.0,True,
candidate-000008,2.4043368640910785,-0.6386061297424678,2.094395102393195,True,True,True,False,0.6564431137554538,1.0687154130936047e-11,3.558005532746148e-12,1.0,True,
candidate-000009,2.38063988558993,-0.6496562122926891,1.919862177193762,True,True,True,False,0.6564431137485873,6.6663468548586585e-12,1.0216448674047316e-12,1.0,True,
candidate-000010,2.4592406746587447,-0.43370231917480284,-2.617993877991494,True,True,True,False,0.6564431137474953,1.4499372966697165e-13,1.549473549546865e-14,1.0,True,
candidate-000011,2.355384090741118,-0.6564234821266333,1.7453292519943293,True,True,True,False,0.6564431137468199,4.1982011537802585e-12,1.7962626917298116e-13,1.0,True,
candidate-000012,2.444243530558926,-0.4122841777218214,-2.443460952792062,True,True,True,False,1.0818584643931375,1.5102441956873004e-12,7.321008182172646e-14,1.0,True,
candidate-000013,2.3293368640910797,-0.6587023191748022,1.5707963267948966,True,True,True,False,0.6564431137474953,3.2009291313835888e-16,4.387688523089991e-16,1.0,True,
candidate-000014,2.4257550055440595,-0.3937956527069561,-2.2689280275926285,True,True,True,False,1.0818584643923868,3.360173254308499e-16,1.2809639514135601e-15,1.0,True,
candidate-000015,2.3032896374410403,-0.6564234821266338,1.3962634015954638,True,True,True,False,0.6564431137474958,1.942890293094024e-16,3.405649315223134e-16,1.0,True,
candidate-000016,2.40433686409108,-0.3787985086071367,-2.0943951023931957,True,True,True,False,0.6564431137474922,6.6405613446200725e-15,5.898454229252257e-15,1.0,True,
candidate-000017,2.27803384259223,-0.649656212292689,1.221730476396031,True,True,True,False,0.6564431137474922,3.1777819010881774e-14,8.006971136280737e-15,1.0,True,
candidate-000018,2.2904923035388607,-0.1421811984329833,-3.141592653589793,True,True,True,False,0.5154466685556174,4.488879820528887e-16,6.031791332312364e-16,1.0,True,
candidate-000019,2.2882134664906917,-0.16822842508302283,2.9670597283903604,True,False,False,False,0.35270887836892406,1.9141791241147513e-16,7.366042821970216e-16,0.0,False,ik_no_valid_solution
candidate-000020,2.281446196656747,-0.19348421993183385,2.7925268031909276,True,True,True,False,0.1781503374725295,7.27013769958142e-14,9.529909956671987e-15,0.356300674945059,True,
candidate-000021,2.279055329378065,-0.09350681480005693,-3.141592653589793,True,True,True,False,0.884195506535947,2.1518208125580402e-15,5.436518950056362e-15,1.0,True,
candidate-000022,2.3806398855899302,-0.367748426056916,-1.9198621771937623,True,True,True,False,1.0818584643923843,3.521787733787174e-16,1.330388721408596e-15,1.0,True,
candidate-000023,2.288213466490692,-0.11613397178294381,-2.9670597283903604,True,True,True,False,0.11451974525272357,2.8313748239171495e-16,1.2506709062799885e-15,0.22903949050544714,True,
candidate-000024,2.254336864091079,-0.6386061297424684,1.0471975511965974,True,True,True,False,0.6564431137464304,3.4724718816616275e-12,2.0223509913202925e-13,1.0,True,
candidate-000025,2.270396114106526,-0.21718119843298336,2.617993877991494,True,True,True,False,0.11451974523195707,7.675236864040654e-12,4.4017312024945254e-13,0.22903949046391414,True,
candidate-000026,2.276776492329896,-0.11955404145009653,2.9670597283903604,True,True,True,False,0.17025931275632988,2.4365301257266767e-15,8.701481771022991e-16,0.34051862551265977,True,
candidate-000027,2.2700092224959514,-0.14480983629890745,2.7925268031909276,True,True,True,False,0.8841955065236351,6.354430285291488e-12,2.965948243771364e-12,1.0,True,
candidate-000028,2.255398970006707,-0.23859933988596416,2.443460952792061,True,True,True,False,0.9136123733629082,3.885780586188048e-16,7.213341690098909e-16,1.0,True,
candidate-000029,2.2767764923298963,-0.06745958815001736,-2.9670597283903604,True,True,True,False,0.8841955065359537,1.1443916996305594e-16,3.633972915430202e-16,1.0,True,
candidate-000030,2.355384090741119,-0.3609811562229718,-1.745329251994329,True,True,True,False,1.0818584643923859,3.2957919968262575e-16,7.791668893040425e-16,1.0,True,
candidate-000031,2.2589591399457305,-0.16850681480005675,2.617993877991494,True,True,True,False,0.8841955065350304,4.636308590032549e-13,2.6376589558209504e-13,1.0,True,
candidate-000032,2.2369104449918407,-0.2570878649008299,2.2689280275926285,True,True,True,False,0.11451974525793007,1.0096278050115815e-12,2.2985572384381567e-13,0.22903949051586014,True,
candidate-000033,2.232918722638099,-0.6236089856426497,0.8726646259971647,True,True,True,False,0.6564431137474962,3.2957919968262575e-16,7.280010016127384e-16,1.0,True,
candidate-000034,2.281446196656747,-0.09087817693413286,-2.7925268031909276,True,True,True,False,0.11451974530020914,9.21760358300573e-12,2.0838471007586516e-12,0.22903949060041828,True,
candidate-000035,1.9268976697867843,-0.12489125029270094,-3.141592653589793,True,True,True,False,0.508359456428404,5.685236960028912e-16,1.3677208845624055e-15,1.0,True,
