slot,scene,seed,method,status,retrieval_success,adapter_completed_lift,D_env,D_exec,selected_source_id,first_discovery_window,active_sim_s,task_terminal_sim_s,takeoff_stage_to_landing_sim_s,terminal_reason,confirmed_by_window,completed_windows,nbv_moves,sensing_rescans,uav_active_distance_m,uav_active_complete,uav_active_missing_samples,uav_active_observed_distance_lower_bound_m,uav_total_distance_m,uav_total_complete,uav_total_missing_samples,uav_total_observed_distance_lower_bound_m,uav_cleanup_distance_m,uav_cleanup_complete,uav_cleanup_missing_samples,uav_cleanup_observed_distance_lower_bound_m,ground_total_distance_m,ground_total_complete,ground_total_missing_samples,ground_total_observed_distance_lower_bound_m,ground_navigation_status,ground_navigation_duration_sim_s,ground_refine_status,ground_refine_duration_sim_s,refined_pregrasp_status,refined_pregrasp_duration_sim_s,descend_status,descend_duration_sim_s,close_status,close_duration_sim_s,lift_status,lift_duration_sim_s,retention_status,retention_duration_sim_s
1,paired-easy-01,325746326,generic,VALID_TRIAL,True,True,True,True,582,3,51.958000000000006,212.64100000000002,126.6,,0/0/6,3,1,1,3.4047736172317564,True,0,3.4047736172317564,,False,1,11.585947457426075,0.0,True,0,0.0,,False,2,2.2547480106679907,SUCCEEDED,31.753000000000014,SUCCEEDED,14.227000000000004,SUCCEEDED,18.27600000000001,SUCCEEDED,6.317999999999984,SUCCEEDED,1.2960000000000207,SUCCEEDED,13.599999999999994,SUCCEEDED,0.5550000000000068
2,paired-easy-01,325746326,ours,VALID_TRIAL,True,True,True,True,582,3,52.616,223.83399999999997,127.61699999999999,,0/0/5,3,2,0,4.257226596180813,True,0,4.257226596180813,,False,2,14.267451185301384,6.0332300967486975e-06,True,0,6.0332300967486975e-06,,False,3,2.263950847030487,SUCCEEDED,41.86500000000001,SUCCEEDED,14.619,SUCCEEDED,17.675999999999988,SUCCEEDED,6.700000000000017,SUCCEEDED,1.296999999999997,SUCCEEDED,13.414999999999992,SUCCEEDED,0.6189999999999998
3,paired-moderate-01,1460872549,ours,VALID_TRIAL,False,True,True,True,582,3,54.480999999999995,286.14799999999997,123.919,no map observation matched status stamp 33.811000,0/0/6,3,1,1,4.24559362689603,True,0,4.24559362689603,,False,0,12.939278545801882,0.0,True,0,0.0,,False,5,2.3143016388620974,SUCCEEDED,39.09,SUCCEEDED,71.715,SUCCEEDED,29.807999999999993,SUCCEEDED,6.648000000000025,SUCCEEDED,1.285000000000025,SUCCEEDED,13.005999999999972,SUCCEEDED,0.6610000000000014
4,paired-moderate-01,1460872549,generic,VALID_TRIAL,True,True,True,True,582,2,50.994,242.895,129.301,,0/1/6,3,2,0,4.35592032474267,True,0,4.35592032474267,,False,0,13.576177520540897,0.0,True,0,0.0,,False,2,2.3139427321614634,SUCCEEDED,39.349999999999994,SUCCEEDED,15.894999999999982,SUCCEEDED,34.668000000000006,SUCCEEDED,7.035000000000025,SUCCEEDED,1.3030000000000257,SUCCEEDED,14.804000000000002,SUCCEEDED,0.5240000000000009
5,paired-hard-01,1973399495,generic,VALID_TRIAL,False,False,False,False,,,50.377,92.803,102.705,A5 stopped (VIEW_BUDGET_REACHED) without a confirmed exact candidate,0/0/0,3,2,0,4.345991537983183,True,0,4.345991537983183,8.356884204040002,True,0,8.356884204040002,1.1770942182128676,True,0,1.1770942182128676,,False,3,0.00012244051661747596,NOT_REACHED,,NOT_REACHED,,NOT_REACHED,,NOT_REACHED,,NOT_REACHED,,NOT_REACHED,,NOT_REACHED,
6,paired-hard-01,1973399495,ours,VALID_TRIAL,False,False,False,False,,,52.166000000000004,92.922,105.426,A5 stopped (VIEW_BUDGET_REACHED) without a confirmed exact candidate,0/0/0,3,2,0,3.5247686652561576,True,0,3.5247686652561576,7.46933696095538,True,0,7.46933696095538,3.2318235958493347,True,0,3.2318235958493347,,False,9,0.00012013734929023997,NOT_REACHED,,NOT_REACHED,,NOT_REACHED,,NOT_REACHED,,NOT_REACHED,,NOT_REACHED,,NOT_REACHED,
7,paired-easy-02,2001349247,ours,VALID_TRIAL,True,True,True,True,624,3,51.922000000000004,240.135,127.52999999999999,,0/0/4,3,2,0,4.294768862767129,True,0,4.294768862767129,,False,0,13.390315838321747,0.0,True,0,0.0,,False,0,3.064857293921834,SUCCEEDED,56.81300000000002,SUCCEEDED,14.094999999999999,SUCCEEDED,19.454000000000008,SUCCEEDED,6.6129999999999995,SUCCEEDED,1.3170000000000073,SUCCEEDED,13.632000000000005,SUCCEEDED,0.6619999999999777
8,paired-easy-02,2001349247,generic,VALID_TRIAL,True,True,True,True,624,2,53.068000000000005,227.635,128.19,,0/4/6,3,2,0,3.379340118675381,True,0,3.379340118675381,,False,1,11.995732022731667,1.2305490884442047e-08,True,0,1.2305490884442047e-08,,False,8,2.3571473678395587,SUCCEEDED,30.430000000000007,SUCCEEDED,13.53400000000002,SUCCEEDED,34.22399999999999,SUCCEEDED,6.431999999999988,SUCCEEDED,1.2949999999999875,SUCCEEDED,12.883999999999986,SUCCEEDED,0.6229999999999905
9,paired-moderate-02,1293116599,generic,VALID_TRIAL,True,True,True,True,583,2,53.190999999999995,225.445,127.723,,0/3/5,3,2,0,4.202154468736514,True,0,4.202154468736514,,False,0,13.195537970871282,0.0,True,0,0.0,,False,4,2.331423414659274,SUCCEEDED,25.218999999999994,SUCCEEDED,17.90299999999999,SUCCEEDED,32.297,SUCCEEDED,6.735000000000014,SUCCEEDED,1.2779999999999916,SUCCEEDED,13.715000000000003,SUCCEEDED,0.5560000000000116
10,paired-moderate-02,1293116599,ours,VALID_TRIAL,True,True,True,True,583,2,52.79200000000001,233.68900000000002,128.784,,0/3/5,3,2,0,4.215625390879863,True,0,4.215625390879863,,False,0,13.16577756196131,0.0,True,0,0.0,,False,3,2.965794467399457,SUCCEEDED,51.014999999999986,SUCCEEDED,13.764999999999986,SUCCEEDED,18.597999999999985,SUCCEEDED,6.069999999999993,SUCCEEDED,1.2770000000000152,SUCCEEDED,13.454999999999984,SUCCEEDED,0.7130000000000223
