candidate_id,bunker_x,bunker_y,bunker_yaw,rm4d_reachable,ik_valid,collision_free,footprint_collision,joint_margin_rad,fk_position_residual_m,fk_orientation_residual_rad,field_relevance,valid,rejection_reason
candidate-000000,2.4138055662194704,-0.6223003823011185,2.9670597283903604,True,True,True,False,1.0818584757537264,1.7469866922408238e-12,1.2635001428125804e-13,1.0,True,
candidate-000001,2.4160844032676385,-0.5962531556510788,-3.141592653589793,True,True,True,False,0.7074046331818464,1.1196373523608668e-14,7.105280973708815e-15,1.0,True,
candidate-000002,2.4070382963855255,-0.6475561771499292,2.7925268031909276,True,True,True,False,0.6564431382122429,1.0778315928076987e-15,1.0405652889534264e-15,1.0,True,
candidate-000003,2.395988213835304,-0.6712531556510788,2.617993877991494,True,True,True,False,0.656443138212242,5.661048867003676e-16,1.1407880789686236e-15,1.0,True,
candidate-000004,2.4138055662194704,-0.5702059290010394,-2.9670597283903604,True,True,True,False,1.0818584757542298,2.2473876566261386e-15,2.7758200730572117e-15,1.0,True,
candidate-000005,2.3809910697354852,-0.6926712971040596,2.443460952792061,True,True,True,False,0.6564431382122411,2.0014830212433605e-16,4.250003389006494e-16,1.0,True,
candidate-000006,2.36250254472062,-0.7111598221189251,2.2689280275926285,True,True,True,False,0.6564431382122407,4.041272810440265e-16,2.5003318861302043e-16,1.0,True,
candidate-000007,2.4070382963855255,-0.5449501341522285,-2.7925268031909276,True,True,True,False,0.7073909470203321,5.495323605393213e-16,2.485207295760647e-16,1.0,True,
candidate-000008,2.3410844032676383,-0.7261569662187445,2.094395102393195,True,True,True,False,0.6564431382122415,2.618455766672135e-16,9.121671028121435e-16,1.0,True,
candidate-000009,2.317387424766489,-0.7372070487689653,1.919862177193762,True,True,True,False,0.6564431382122411,3.777716358848215e-16,5.70537797158727e-16,1.0,True,
candidate-000010,2.395988213835304,-0.5212531556510789,-2.617993877991494,True,True,True,False,0.6564431382122424,8.116643420876964e-15,5.409506515778823e-15,1.0,True,
candidate-000011,2.2921316299176784,-0.7439743186029099,1.7453292519943293,True,True,True,False,0.6564431383182328,4.7336463712967296e-11,3.1309239929990865e-11,1.0,True,
candidate-000012,2.3809910697354857,-0.4998350141980981,-2.443460952792062,True,True,True,False,1.0818584757446763,2.975494563544384e-11,1.2594408499529996e-12,1.0,True,
candidate-000013,2.266084403267639,-0.7462531556510783,1.5707963267948966,True,True,True,False,0.6564431382310687,1.511457776837011e-11,7.148684923775303e-12,1.0,True,
candidate-000014,2.2400371766175997,-0.74397431860291,1.3962634015954638,True,True,True,False,0.6564431382151557,7.58818550432096e-12,1.8125495609273771e-12,1.0,True,
candidate-000015,2.362502544720619,-0.48134648918323225,-2.2689280275926285,True,True,True,False,0.7073909470203308,3.925231146709438e-16,7.911202089682473e-16,1.0,True,
candidate-000016,2.4619954470468683,-0.2128156629453883,2.9670597283903604,True,True,True,False,0.11451970253334887,6.885767283933673e-12,1.5455441289501756e-12,0.22903940506669773,True,
candidate-000017,2.464274284095037,-0.1867684362953487,-3.141592653589793,True,True,True,False,0.11451970251364774,3.056154865981785e-12,7.060325057432212e-13,0.22903940502729547,True,
