candidate_id,bunker_x,bunker_y,bunker_yaw,rm4d_reachable,ik_valid,collision_free,footprint_collision,joint_margin_rad,fk_position_residual_m,fk_orientation_residual_rad,field_relevance,valid,rejection_reason
candidate-000000,2.3688571949189714,-0.5422279821450586,-3.141592653589793,True,True,True,False,1.081858469025798,1.8410966031475738e-16,3.7163081077799493e-16,1.0,True,
candidate-000001,2.366578357870803,-0.5682752087950982,2.9670597283903604,True,True,True,False,0.6564431237257997,1.942890293094024e-16,5.026181209063499e-16,1.0,True,
candidate-000002,2.366578357870803,-0.5161807554950189,-2.9670597283903604,True,True,True,False,0.7076643571055317,1.0082924853767938e-13,8.267754303909783e-15,1.0,True,
candidate-000003,2.359811088036858,-0.5935310036439089,2.7925268031909276,True,True,True,False,0.6564431237257997,8.029952337223718e-16,8.069613293688308e-16,1.0,True,
candidate-000004,2.3487610054866366,-0.6172279821450583,2.617993877991494,True,True,True,False,0.6564431237258002,3.521787733787174e-16,1.2833174925778564e-15,1.0,True,
candidate-000005,2.333763861386818,-0.6386461235980386,2.443460952792061,True,True,True,False,0.6564431237257984,2.482534153247273e-16,2.7943422473798815e-16,1.0,True,
candidate-000006,2.359811088036858,-0.4909249606462079,-2.7925268031909276,True,True,True,False,1.0818584690357096,4.790301571694407e-11,3.2242014641536657e-12,1.0,True,
candidate-000007,2.3152753363719523,-0.6571346486129047,2.2689280275926285,True,True,True,False,0.6564431237257993,2.5324586304240974e-16,3.553919361807174e-16,1.0,True,
candidate-000008,2.293857194918971,-0.672131792712724,2.094395102393195,True,True,True,False,0.6564431238434767,5.245589781554019e-11,3.4883399958984396e-11,1.0,True,
candidate-000009,2.3487610054866366,-0.46722798214505884,-2.617993877991494,True,True,True,False,0.7076506650962391,4.526797389797801e-16,5.566062121665929e-16,1.0,True,
candidate-000010,2.2701602164178216,-0.6831818752629448,1.919862177193762,True,True,True,False,0.6564431237477262,1.6362104766771107e-11,8.025987603883302e-12,1.0,True,
candidate-000011,2.3337638613868177,-0.4458098406920778,-2.443460952792062,True,True,True,False,0.7076643574077703,9.93449665217245e-11,4.585465222642536e-12,1.0,True,
candidate-000012,2.244904421569011,-0.6899491450968894,1.7453292519943293,True,True,True,False,0.6564431237291912,7.887706512756328e-12,1.8640967107414357e-12,1.0,True,
candidate-000013,2.2188571949189715,-0.6922279821450583,1.5707963267948966,True,True,True,False,0.6564431237254196,3.455590802837553e-12,1.7212983360113656e-13,1.0,True,
candidate-000014,2.315275336371952,-0.4273213156772117,-2.2689280275926285,True,True,True,False,1.0818584690257997,3.7853558335037716e-16,3.171160817928248e-16,1.0,True,
candidate-000015,2.192809968268932,-0.6899491450968895,1.3962634015954638,True,True,True,False,0.6564431237252215,3.4193380491122582e-12,2.0385477537165205e-13,1.0,True,
candidate-000016,2.2938571949189717,-0.4123241715773924,-2.0943951023931957,True,True,True,False,0.6564431237258002,9.19396896118079e-15,3.563190764327749e-15,1.0,True,
candidate-000017,2.2799941448694687,-0.13960736874343502,-3.141592653589793,True,True,True,False,0.11451972787088982,1.3186996439859318e-11,3.1729726324206262e-12,0.22903945574177964,True,
candidate-000018,2.1675541734201214,-0.683181875262945,1.221730476396031,True,True,True,False,0.6564431237258002,1.4946834900704541e-16,3.5388807252439387e-16,1.0,True,
candidate-000019,2.2777153078213006,-0.16565459539347477,2.9670597283903604,True,False,False,False,0.5413006029380729,5.088291420175843e-15,6.224415661495436e-15,0.0,False,ik_no_valid_solution
candidate-000020,2.2701602164178216,-0.4012740890271722,-1.919862177193762,True,True,True,False,1.0818584690286512,1.3178575299316786e-11,2.2731906247963815e-13,1.0,True,
candidate-000021,2.2777153078213006,-0.11356014209339553,-2.9670597283903604,True,True,True,False,0.11451972783616782,6.467918511584364e-12,1.5586377576798207e-12,0.22903945567233563,True,
candidate-000022,2.2709480379873557,-0.19091039024228548,2.7925268031909276,True,True,True,False,0.4366842320984823,7.181500368692613e-15,4.1168683488366815e-15,0.8733684641969646,True,
candidate-000023,2.2813814511401636,-0.08962661863590571,-3.141592653589793,True,True,True,False,0.3542835710780059,1.3566380516206423e-16,8.340705979508373e-16,0.7085671421560118,True,
candidate-000024,2.2598979554371343,-0.21460736874343472,2.617993877991494,True,True,True,False,0.2621497471141101,1.1485614693168305e-13,2.3235775935418902e-14,0.5242994942282202,True,
candidate-000025,2.2791026140919945,-0.11567384528594538,2.9670597283903604,True,True,True,False,0.3542835709857486,3.790039195404989e-11,9.264173336603937e-13,0.7085671419714972,True,
candidate-000026,2.143857194918971,-0.6721317927127244,1.0471975511965974,True,True,True,False,0.6564431237257997,1.7895352222091343e-15,1.862278371033475e-15,1.0,True,
candidate-000027,2.279102614091995,-0.06357939198586614,-2.9670597283903604,True,True,True,False,0.3542835710780059,1.6243534171511178e-16,7.4701943634030935e-16,0.7085671421560118,True,
candidate-000028,2.27233534425805,-0.14092964013475628,2.7925268031909276,True,True,True,False,0.8833136913369439,1.1079873170758922e-15,1.0439897801392516e-15,1.0,True,
candidate-000029,2.244904421569011,-0.39450681919322766,-1.745329251994329,True,True,True,False,0.7076643571052168,5.214799211354908e-16,3.2569125466957555e-16,1.0,True,
candidate-000030,2.2449008113373154,-0.23602551019641585,2.443460952792061,True,True,True,False,0.11451972780274478,2.2073972817097756e-16,2.9436462649702964e-16,0.22903945560548955,True,
candidate-000031,2.2709480379873557,-0.08830434724458464,-2.7925268031909276,True,True,True,False,0.11451972781745212,2.8530577999810987e-12,6.524447261886143e-13,0.22903945563490424,True,
candidate-000032,2.2612852617078287,-0.16462661863590555,2.617993877991494,True,True,True,False,0.8833136913369422,7.098050953971103e-16,3.6152976298564784e-16,1.0,True,
candidate-000033,2.22641228632245,-0.2545140352112813,2.2689280275926285,True,True,True,False,0.912747061800685,2.5739461938222585e-16,3.9617112274732986e-16,1.0,True,
candidate-000034,2.2462881176080103,-0.18604476008888648,2.443460952792061,True,True,True,False,0.8833136913322548,1.4175939786851826e-12,6.087490328570373e-13,1.0,True,
candidate-000035,2.2188571949189715,-0.39222798214505883,-1.5707963267948963,True,True,True,False,1.0818584690257984,2.0206364052201326e-16,2.43344148232388e-16,1.0,True,
candidate-000036,2.1224390534659903,-0.6571346486129053,0.8726646259971647,True,True,True,False,0.6564431237256643,3.666695044601409e-13,3.430255887722183e-14,1.0,True,
candidate-000037,2.2723353442580505,-0.03832359713705517,-2.7925268031909276,True,True,True,False,0.35428357107800723,2.0062885096040707e-16,4.166402627391293e-16,0.7085671421560145,True,
candidate-000038,2.2049941448694685,-0.2695111793111005,2.094395102393195,True,True,True,False,0.11451972780275055,9.489809492268385e-16,5.184929855457537e-16,0.2290394556055011,True,
candidate-000039,2.227799592593144,-0.20453328510375218,2.2689280275926285,True,True,True,False,0.3542835710780081,1.7772239894833365e-16,4.757660537397575e-16,0.7085671421560162,True,
candidate-000040,2.2598979554371343,-0.06460736874343524,-2.617993877991494,True,True,True,False,0.11451972780877062,1.1691823728806825e-12,2.6797529478718346e-13,0.22903945561754124,True,
candidate-000041,2.192809968268932,-0.3945068191932276,-1.3962634015954636,True,True,True,False,0.7076506650962386,2.237726045655905e-16,9.570780074330201e-16,1.0,True,
candidate-000042,2.181297166368319,-0.2805612618613217,1.919862177193762,True,True,True,False,0.9127470618006672,4.760870123150232e-15,7.38839474310132e-15,1.0,True,
candidate-000043,2.206381451140164,-0.21953042920357124,2.094395102393195,True,True,True,False,0.24068767435216776,8.054155179068446e-10,6.9895262874633e-11,0.4813753487043355,True,
candidate-000044,2.1039505284511244,-0.63864612359804,0.6981317007977319,True,True,True,False,0.656443123718637,2.2428492406443248e-11,1.2120838442152144e-12,1.0,True,
candidate-000045,2.2612852617078287,-0.014626618635905808,-2.617993877991494,True,True,True,False,0.35428357107800634,9.205483015737869e-17,1.587939294847652e-16,0.7085671421560127,True,
candidate-000046,1.9329035066581526,-0.029934724633514667,-3.141592653589793,True,True,True,False,0.5070752223738251,7.68590178308424e-16,1.9278146682907905e-15,1.0,True,
candidate-000047,2.167554173420121,-0.40127408902717243,-1.2217304763960293,True,True,True,False,0.7076506650962444,2.6414501703659067e-15,1.781372691996398e-15,1.0,True,
candidate-000048,2.2449008113373154,-0.043189227290453505,-2.443460952792062,True,True,True,False,0.1145197278049479,4.2724505277286935e-13,9.652652606890916e-14,0.2290394556098958,True,
candidate-000049,1.9306246696099838,-0.05598195128355421,2.9670597283903604,True,True,True,False,0.5921216474426085,5.377848136844589e-12,5.049044253302853e-13,1.0,True,
candidate-000050,2.1826844726390133,-0.2305805117537923,1.919862177193762,True,True,True,False,0.8833136913369444,4.2841699744536696e-16,3.246120093189408e-16,1.0,True,
candidate-000051,2.1560413715195077,-0.28732853169526595,1.7453292519943293,True,True,True,False,0.9127470618006197,2.925798746589477e-14,6.6317988549426344e-15,1.0,True,
candidate-000052,1.9306246696099838,-0.00388749798347518,-2.9670597283903604,True,False,False,False,4.440892098500626e-16,0.021716370342205686,0.0037060791326529938,0.0,False,ik_no_valid_solution
candidate-000053,1.923857399776039,-0.08123774613236509,2.7925268031909276,True,True,True,False,0.5070679687491348,1.498305566254963e-11,5.920671903542602e-13,1.0,True,
candidate-000054,2.1438571949189718,-0.41232417157739265,-1.0471975511965983,True,True,True,False,0.7076506650962417,8.632232228951988e-16,1.1529219132240872e-15,1.0,True,
candidate-000055,2.0889533843513055,-0.6172279821450581,0.5235987755982987,True,True,True,False,0.6564431237257993,1.8440363494407352e-16,3.0985413514901744e-16,1.0,True,
candidate-000056,2.2462881176080103,0.006791522817075471,-2.443460952792062,True,True,True,False,0.3542835710780081,3.0531133177191805e-16,2.1667579560651523e-16,0.7085671421560162,True,
