candidate_id,bunker_x,bunker_y,bunker_yaw,rm4d_reachable,ik_valid,collision_free,footprint_collision,joint_margin_rad,fk_position_residual_m,fk_orientation_residual_rad,field_relevance,valid,rejection_reason
candidate-000000,2.4853006204104626,-0.5033896347815872,-3.141592653589793,True,True,True,False,0.6564431341756092,2.0770370905276122e-16,3.818417533651654e-16,1.0,True,
candidate-000001,2.483021783362294,-0.5294368614316267,2.9670597283903604,True,True,True,False,0.6564431341756087,1.3597399555105182e-16,2.674526121673278e-16,1.0,True,
candidate-000002,2.476254513528349,-0.554692656280438,2.7925268031909276,True,True,True,False,0.6564431341756105,6.162737906427329e-16,1.1606034175844785e-15,1.0,True,
candidate-000003,2.4830217833622936,-0.4773424081315475,-2.9670597283903604,True,True,True,False,0.6564431341756096,4.509747244882934e-16,9.183253444414507e-16,1.0,True,
candidate-000004,2.4652044309781287,-0.5783896347815873,2.617993877991494,True,True,True,False,0.6564431341756092,2.387624894196368e-16,4.716176214317742e-16,1.0,True,
candidate-000005,2.4502072868783094,-0.5998077762345677,2.443460952792061,True,True,True,False,0.6564431343809436,8.973602012557631e-11,6.006108677940652e-11,1.0,True,
candidate-000006,2.431718761863443,-0.6182963012494335,2.2689280275926285,True,True,True,False,0.6564431342278989,2.6124199633624126e-11,1.64869049987294e-11,1.0,True,
candidate-000007,2.476254513528349,-0.45208661328273664,-2.7925268031909276,True,True,True,False,0.7074622222252778,2.1210781103223385e-15,4.24546577174075e-15,1.0,True,
candidate-000008,2.4103006204104624,-0.6332934453492527,2.094395102393195,True,True,True,False,0.6564431341826986,9.942300215902765e-12,3.172437912652917e-12,1.0,True,
candidate-000009,2.386603641909313,-0.6443435278994736,1.919862177193762,True,True,True,False,0.6564431341763779,2.6800502355167285e-12,5.731091649337813e-13,1.0,True,
candidate-000010,2.4652044309781282,-0.4283896347815875,-2.617993877991494,True,True,True,False,0.6564431341756043,1.783010422042618e-13,2.4511493074029478e-14,1.0,True,
candidate-000011,2.3613478470605025,-0.6511107977334178,1.7453292519943293,True,True,True,False,0.6564431341749324,4.058382177021563e-12,1.6101472062191097e-13,1.0,True,
candidate-000012,2.4502072868783094,-0.40697149332860605,-2.443460952792062,True,True,True,False,1.0818584738407964,1.7636665749202743e-12,5.685897873315112e-14,1.0,True,
candidate-000013,2.3353006204104627,-0.6533896347815866,1.5707963267948966,True,True,True,False,0.6564431341756092,4.335559509131367e-16,7.433419671678769e-16,1.0,True,
candidate-000014,2.4317187618634435,-0.3884829683137408,-2.2689280275926285,True,True,True,False,1.08185847383987,2.524317722127747e-15,1.1272689193968694e-15,1.0,True,
candidate-000015,2.3092533937604234,-0.6511107977334181,1.3962634015954638,True,True,True,False,0.6564431341756083,4.75098925995612e-16,3.8547214375479764e-16,1.0,True,
candidate-000016,2.4103006204104633,-0.3734858242139212,-2.0943951023931957,True,True,True,False,0.6564431341756092,3.3433949796902482e-15,2.3609472200740377e-15,1.0,True,
candidate-000017,2.2839975989116126,-0.6443435278994736,1.221730476396031,True,True,True,False,0.6564431341755879,4.1318581676559396e-14,8.620252877127804e-15,1.0,True,
candidate-000018,2.2922400732832293,-0.13907160730705606,-3.141592653589793,True,True,True,False,0.5153303969040604,1.2432050435751766e-16,4.620765694712569e-16,1.0,True,
candidate-000019,2.2899612362350603,-0.16511883395709567,2.9670597283903604,True,False,False,False,0.341171592801667,3.3250626440712324e-16,9.32322336432419e-16,0.0,False,ik_no_valid_solution
candidate-000020,2.283193966401116,-0.19037462880590675,2.7925268031909276,True,True,True,False,0.16661309789241807,1.5829290697727867e-13,1.703825282711204e-14,0.33322619578483614,True,
candidate-000021,2.280242303841041,-0.09053241151219257,-3.141592653589793,True,True,True,False,0.8823885233397126,1.1893322852413273e-15,4.0312968727643875e-15,1.0,True,
candidate-000022,2.386603641909313,-0.3624357416637007,-1.9198621771937623,True,True,True,False,1.0818584738398709,9.053594779595603e-16,1.6063341307406744e-15,1.0,True,
candidate-000023,2.289961236235061,-0.11302438065701653,-2.9670597283903604,True,True,True,False,0.11451970949089274,3.6743392481035993e-16,9.540667559224032e-16,0.22903941898178548,True,
candidate-000024,2.260300620410463,-0.6332934453492531,1.0471975511965974,True,True,True,False,0.6564431341742654,4.4521602943269535e-12,2.9021557123987056e-13,1.0,True,
candidate-000025,2.272143883850895,-0.21407160730705616,2.617993877991494,True,True,True,False,0.11451970946651624,9.259280694404153e-12,4.646443349300945e-13,0.22903941893303248,True,
candidate-000026,2.277963466792872,-0.11657963816223207,2.9670597283903604,True,True,True,False,0.15872207542485617,1.1601863807734683e-15,1.0727462847695593e-15,0.31744415084971234,True,
candidate-000027,2.2711961969589276,-0.14183543301104337,2.7925268031909276,True,True,True,False,0.8823885233387974,3.9938158338859355e-13,1.4635901305387457e-13,1.0,True,
candidate-000028,2.257146739751076,-0.2354897487600366,2.443460952792061,True,True,True,False,0.9118392524891319,9.205483015737869e-17,4.704434647148362e-16,1.0,True,
candidate-000029,2.2779634667928725,-0.06448518486215299,-2.9670597283903604,True,True,True,False,0.882388523339718,4.892073987379556e-16,7.701073339627831e-16,1.0,True,
candidate-000030,2.361347847060502,-0.3556684718297564,-1.745329251994329,True,True,True,False,1.0818584738398695,6.684427777288335e-16,8.815221678195703e-16,1.0,True,
candidate-000031,2.2601461144087063,-0.16553241151219272,2.617993877991494,True,True,True,False,0.8823885233385562,5.209131418995356e-13,3.7514160641559255e-13,1.0,True,
candidate-000032,2.23865821473621,-0.25397827377490256,2.2689280275926285,True,True,True,False,0.11451970949099044,1.8867994511133946e-14,4.186050423468375e-15,0.22903941898198088,True,
candidate-000033,2.2388824789574815,-0.6182963012494344,0.8726646259971647,True,True,True,False,0.656443134175611,6.544024451334624e-16,5.723007882920194e-16,1.0,True,
candidate-000034,2.283193966401116,-0.0877685858082056,-2.7925268031909276,True,True,True,False,0.1145197095406214,9.667591208137644e-12,2.118633271351978e-12,0.2290394190812428,True,
candidate-000035,1.9284701638348083,-0.1259776018126473,-3.141592653589793,True,True,True,False,0.5057261124714434,3.622468569511592e-16,8.090444504749154e-16,1.0,True,
candidate-000036,2.2451489703088874,-0.1869505529651735,2.443460952792061,True,True,True,False,0.35428355217150864,1.442222014787673e-16,6.790512906723776e-16,0.7085671043430173,True,
