Slot,Scene,Seed,Method
1,eval-hard-015,1395226981,generic
2,eval-hard-015,1395226981,ours
3,eval-moderate-016,896070714,ours
4,eval-moderate-016,896070714,generic
5,eval-moderate-024,1468747216,generic
6,eval-moderate-024,1468747216,ours
7,eval-easy-033,580383716,ours
8,eval-easy-033,580383716,generic
9,eval-easy-009,1995439984,ours
10,eval-easy-009,1995439984,generic
11,eval-easy-006,1268197413,generic
12,eval-easy-006,1268197413,ours
13,eval-hard-007,1075287346,ours
14,eval-hard-007,1075287346,generic
15,eval-moderate-023,541862809,generic
16,eval-moderate-023,541862809,ours
17,eval-moderate-004,1474139397,ours
18,eval-moderate-004,1474139397,generic
19,eval-moderate-026,851728733,generic
20,eval-moderate-026,851728733,ours
21,eval-hard-006,783331617,generic
22,eval-hard-006,783331617,ours
23,eval-hard-002,572179566,ours
24,eval-hard-002,572179566,generic
25,eval-hard-002,572179566,rm4d_only
26,eval-hard-002,572179566,no_cost
27,eval-hard-002,572179566,no_occlusion
28,eval-hard-002,572179566,fixed
29,eval-easy-015,1054175095,generic
30,eval-easy-015,1054175095,ours
31,eval-hard-027,1568986785,generic
32,eval-hard-027,1568986785,ours
33,eval-easy-004,1618578603,generic
34,eval-easy-004,1618578603,ours
35,eval-easy-038,1530090069,ours
36,eval-easy-038,1530090069,generic
37,eval-hard-009,211928663,generic
38,eval-hard-009,211928663,ours
39,eval-easy-036,140973717,generic
40,eval-easy-036,140973717,ours
41,eval-moderate-025,391283032,generic
42,eval-moderate-025,391283032,ours
43,eval-hard-008,952403840,generic
44,eval-hard-008,952403840,ours
45,eval-easy-014,1198289218,ours
46,eval-easy-014,1198289218,generic
47,eval-hard-023,1636798150,ours
48,eval-hard-023,1636798150,generic
49,eval-hard-024,2090990290,ours
50,eval-hard-024,2090990290,generic
51,eval-moderate-018,1702771334,generic
52,eval-moderate-018,1702771334,ours
53,eval-hard-012,1705400159,ours
54,eval-hard-012,1705400159,generic
55,eval-moderate-008,1908570494,ours
56,eval-moderate-008,1908570494,generic
57,eval-hard-030,1499976107,ours
58,eval-hard-030,1499976107,generic
59,eval-easy-034,1116734341,generic
60,eval-easy-034,1116734341,ours
61,eval-moderate-011,547442462,ours
62,eval-moderate-011,547442462,generic
63,eval-easy-026,2083629771,generic
64,eval-easy-026,2083629771,ours
65,eval-easy-019,1227555287,generic
66,eval-easy-019,1227555287,ours
67,eval-easy-013,1836638481,ours
68,eval-easy-013,1836638481,generic
69,eval-hard-004,1588955310,generic
70,eval-hard-004,1588955310,ours
71,eval-hard-004,1588955310,no_occlusion
72,eval-hard-004,1588955310,no_cost
73,eval-easy-016,1445701850,ours
74,eval-easy-016,1445701850,generic
75,eval-moderate-002,2026455799,generic
76,eval-moderate-002,2026455799,ours
77,eval-moderate-002,2026455799,rm4d_only
78,eval-moderate-002,2026455799,fixed
79,eval-easy-037,236799364,ours
80,eval-easy-037,236799364,generic
81,eval-moderate-015,1075436801,ours
82,eval-moderate-015,1075436801,generic
83,eval-easy-027,1371677345,generic
84,eval-easy-027,1371677345,ours
85,eval-easy-003,1259243681,generic
86,eval-easy-003,1259243681,ours
87,eval-moderate-010,252873871,generic
88,eval-moderate-010,252873871,ours
89,eval-easy-029,1464281037,generic
90,eval-easy-029,1464281037,ours
91,eval-hard-010,1801785368,generic
92,eval-hard-010,1801785368,ours
93,eval-easy-023,840498448,generic
94,eval-easy-023,840498448,ours
95,eval-easy-002,203946317,generic
96,eval-easy-002,203946317,ours
97,eval-easy-002,203946317,fixed
98,eval-easy-002,203946317,rm4d_only
99,eval-moderate-028,1595998203,ours
100,eval-moderate-028,1595998203,generic
101,eval-hard-028,1011068456,generic
102,eval-hard-028,1011068456,ours
103,eval-moderate-013,2036053271,ours
104,eval-moderate-013,2036053271,generic
105,eval-hard-017,1104742798,ours
106,eval-hard-017,1104742798,generic
107,eval-easy-031,1552255101,generic
108,eval-easy-031,1552255101,ours
109,eval-moderate-001,2144209384,ours
110,eval-moderate-001,2144209384,generic
111,eval-moderate-001,2144209384,rm4d_only
112,eval-moderate-001,2144209384,fixed
113,eval-moderate-009,2099544331,generic
114,eval-moderate-009,2099544331,ours
115,eval-hard-026,1449563762,generic
116,eval-hard-026,1449563762,ours
117,eval-easy-035,2063589663,ours
118,eval-easy-035,2063589663,generic
119,eval-hard-018,623667406,ours
120,eval-hard-018,623667406,generic
121,eval-hard-020,1670336334,ours
122,eval-hard-020,1670336334,generic
123,eval-easy-024,1815207737,ours
124,eval-easy-024,1815207737,generic
125,eval-moderate-020,1196848422,generic
126,eval-moderate-020,1196848422,ours
127,eval-hard-014,555805992,ours
128,eval-hard-014,555805992,generic
129,eval-easy-005,342348758,ours
130,eval-easy-005,342348758,generic
131,eval-easy-018,1791742366,ours
132,eval-easy-018,1791742366,generic
133,eval-hard-003,742306348,ours
134,eval-hard-003,742306348,generic
135,eval-hard-003,742306348,no_occlusion
136,eval-hard-003,742306348,no_cost
137,eval-easy-030,1461492554,ours
138,eval-easy-030,1461492554,generic
139,eval-easy-001,1210463358,generic
140,eval-easy-001,1210463358,ours
141,eval-easy-001,1210463358,fixed
142,eval-easy-001,1210463358,rm4d_only
143,eval-moderate-006,114753794,generic
144,eval-moderate-006,114753794,ours
145,eval-moderate-012,1778808044,ours
146,eval-moderate-012,1778808044,generic
147,eval-moderate-019,1169197651,ours
148,eval-moderate-019,1169197651,generic
149,eval-hard-016,2015921538,generic
150,eval-hard-016,2015921538,ours
151,eval-hard-001,255254000,generic
152,eval-hard-001,255254000,ours
153,eval-hard-001,255254000,no_cost
154,eval-hard-001,255254000,fixed
155,eval-hard-001,255254000,no_occlusion
156,eval-hard-001,255254000,rm4d_only
157,eval-easy-028,276858287,generic
158,eval-easy-028,276858287,ours
159,eval-hard-019,1161908827,ours
160,eval-hard-019,1161908827,generic
161,eval-easy-021,1921782030,generic
162,eval-easy-021,1921782030,ours
163,eval-moderate-027,527009834,generic
164,eval-moderate-027,527009834,ours
165,eval-easy-010,577646205,ours
166,eval-easy-010,577646205,generic
167,eval-moderate-005,1040101780,ours
168,eval-moderate-005,1040101780,generic
169,eval-moderate-017,1094383263,generic
170,eval-moderate-017,1094383263,ours
171,eval-hard-021,934204669,generic
172,eval-hard-021,934204669,ours
173,eval-easy-008,36731972,generic
174,eval-easy-008,36731972,ours
175,eval-moderate-007,1771585328,ours
176,eval-moderate-007,1771585328,generic
177,eval-easy-017,1730521730,ours
178,eval-easy-017,1730521730,generic
179,eval-hard-025,1040934784,ours
180,eval-hard-025,1040934784,generic
181,eval-easy-025,1586363002,ours
182,eval-easy-025,1586363002,generic
183,eval-hard-005,2032977054,generic
184,eval-hard-005,2032977054,ours
185,eval-moderate-014,12453975,ours
186,eval-moderate-014,12453975,generic
187,eval-easy-007,301722068,ours
188,eval-easy-007,301722068,generic
189,eval-easy-022,624476128,generic
190,eval-easy-022,624476128,ours
191,eval-hard-013,1968384923,ours
192,eval-hard-013,1968384923,generic
193,eval-moderate-021,1663037551,generic
194,eval-moderate-021,1663037551,ours
195,eval-easy-032,1195288372,ours
196,eval-easy-032,1195288372,generic
197,eval-hard-029,446503030,generic
198,eval-hard-029,446503030,ours
199,eval-moderate-022,1946101076,ours
200,eval-moderate-022,1946101076,generic
201,eval-moderate-003,1313725102,generic
202,eval-moderate-003,1313725102,ours
203,eval-easy-020,624330444,ours
204,eval-easy-020,624330444,generic
205,eval-hard-011,1308936197,generic
206,eval-hard-011,1308936197,ours
207,eval-easy-012,1529985687,generic
208,eval-easy-012,1529985687,ours
209,eval-easy-011,6291815,ours
210,eval-easy-011,6291815,generic
211,eval-hard-022,208584040,ours
212,eval-hard-022,208584040,generic
